player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
L. Messi,FW,Argentina,35,693,460,15,7,27,13,301,372,3,3,93,78000000
R. Lewandowski,FW,Poland,34,360,153,5,2,10,2,61,91,1,2,92,119500000
K. Mbappé,FW,France,23,594,325,25,8,29,11,173,229,2,0,91,194000000
Neymar,MF,Brazil,30,279,203,6,2,11,6,121,153,0,0,91,129000000
C. Ronaldo,FW,Portugal,37,288,116,0,1,10,2,68,90,0,0,91,45000000
H. Kane,FW,England,29,405,138,4,2,10,5,62,98,3,1,90,129500000
M. Neuer,GK,Germany,36,270,133,0,0,0,0,115,127,0,0,90,13500000
Casemiro,MF,Brazil,30,387,302,1,1,9,3,208,251,0,4,89,88000000
J. Kimmich,MF,Germany,27,270,301,1,0,7,4,226,267,0,2,89,108000000
Ederson,GK,Brazil,29,90,32,0,0,0,0,28,31,0,0,89,94000000
T. Courtois,GK,Belgium,30,270,129,1,0,0,0,108,123,0,0,89,85500000
Alisson,GK,Brazil,30,378,101,0,0,0,0,80,93,0,0,89,82000000
R. Lukaku,FW,Belgium,29,54,16,1,0,5,2,6,9,0,0,88,93500000
L. Suárez,FW,Uruguay,35,144,52,2,0,2,1,25,40,1,0,88,44500000
K. Navas,GK,Costa Rica,36,270,114,0,0,0,0,61,102,0,0,88,15500000
R. Sterling,FW,England,28,153,68,2,1,1,1,45,55,1,1,88,107500000
H. Lloris,GK,France,35,567,203,0,0,0,0,110,182,0,0,87,13500000
W. Szczesny,GK,Poland,32,360,159,0,0,0,0,84,142,0,0,87,42000000
P. Dybala,FW,Argentina,29,18,20,1,0,0,0,8,12,0,1,87,93000000
L. Goretzka,MF,Germany,27,162,72,0,0,4,1,42,57,0,3,87,93000000
Marquinhos,DF,Brazil,28,423,392,1,0,2,0,352,368,0,4,87,90500000
T. Müller,FW,Germany,33,198,91,0,0,3,0,56,78,0,2,87,66000000
L. Modric,MF,Croatia,37,657,615,6,0,6,4,465,551,0,10,87,32000000
A. Laporte,DF,Spain,28,297,456,0,0,1,0,413,438,0,0,86,77000000
R. Varane,DF,France,29,522,322,1,0,3,0,256,286,0,0,86,68500000
K. Coman,FW,France,26,171,102,6,0,1,0,56,72,0,2,86,81000000
K. Koulibaly,DF,Senegal,31,360,260,0,1,2,1,156,205,0,9,86,55500000
Rodri,DF,Spain,26,387,710,0,0,1,0,642,689,0,2,86,81000000
Fabinho,MF,Brazil,29,90,63,0,0,0,0,51,57,0,2,86,73500000
K. Schmeichel,GK,Denmark,36,270,91,0,0,0,0,72,87,0,0,85,9000000
L. Martínez,FW,Argentina,25,243,96,2,0,14,4,46,62,0,0,85,78000000
Koke,MF,Spain,30,54,68,0,0,0,0,56,62,0,1,85,52500000
A. Griezmann,MF,France,31,540,381,4,0,6,2,258,329,3,8,85,53000000
S. Gnabry,FW,Germany,27,261,148,3,1,12,4,86,118,1,2,85,64500000
I. Gündogan,MF,Germany,32,189,187,2,1,5,2,150,168,0,1,85,51500000
E. Cavani,FW,Uruguay,35,125,44,1,0,3,0,27,37,0,0,85,26000000
K. Walker,DF,England,32,234,198,2,0,0,0,162,181,0,1,85,39000000
A. Hakimi,DF,Morocco,24,630,478,2,0,4,1,312,382,1,17,85,69500000
M. Rashford,FW,England,25,144,92,5,3,11,6,49,66,0,0,85,77500000
E. Hazard,MF,Belgium,31,125,70,5,0,1,1,46,58,0,0,85,52000000
Y. Sommer,GK,Switzerland,34,270,126,0,0,0,0,108,118,0,0,85,26500000
E. Martínez,GK,Argentina,30,693,196,0,0,0,0,120,187,0,0,84,33500000
P. Foden,FW,England,22,261,143,3,1,6,1,90,117,2,1,84,94500000
M. Ginter,DF,Germany,28,0,3,0,0,0,0,3,3,0,0,84,42500000
K. Trippier,DF,England,32,206,205,1,0,1,0,165,195,0,4,84,36500000
Y. Tielemans,MF,Belgium,25,99,77,0,0,0,0,53,64,0,1,84,57000000
R. Guerreiro,DF,Portugal,28,279,207,2,1,3,1,156,185,2,2,84,40500000
Y. Carrasco,FW,Belgium,29,117,68,1,0,4,0,39,46,0,4,84,45000000
M. Acuña,DF,Argentina,31,368,269,2,0,2,0,167,217,0,8,84,37000000
M. Brozovic,MF,Croatia,30,549,594,3,0,4,2,466,530,0,7,84,37000000
J. Grealish,FW,England,27,90,71,3,1,1,1,48,54,0,1,84,50500000
H. Maguire,DF,England,29,432,445,2,0,6,1,354,407,1,3,84,42500000
L. Shaw,DF,England,27,423,419,2,0,3,1,335,400,1,1,84,48500000
D. Mertens,MF,Belgium,35,72,39,1,0,3,1,22,33,0,0,84,20500000
D. Tadic,MF,Serbia,34,261,150,3,0,1,0,90,127,2,2,84,33500000
L. Sané,FW,Germany,26,108,68,3,0,3,0,47,58,1,1,84,56000000
H. Ziyech,FW,Morocco,29,639,386,12,1,10,2,211,306,1,7,84,42500000
J. Henderson,MF,England,32,270,179,0,1,2,1,137,163,0,2,84,29500000
F. Kostic,DF,Serbia,30,180,130,0,0,1,0,72,113,0,3,84,42500000
K. Havertz,FW,Germany,23,99,46,0,2,5,3,27,34,0,1,84,94500000
T. Hernández,DF,France,25,503,383,2,1,5,2,289,339,2,13,84,62500000
J. Giménez,DF,Uruguay,27,270,213,0,0,3,0,141,174,0,1,84,52000000
O. Dembélé,FW,France,25,432,241,9,0,8,2,144,191,2,6,83,55000000
L. Hernández,DF,France,26,9,10,0,0,0,0,5,10,0,1,83,44500000
M. Kovacic,MF,Croatia,28,639,521,11,0,3,1,415,460,0,17,83,41500000
E. Mendy,GK,Senegal,30,360,128,0,0,0,0,88,120,0,0,83,30000000
R. Jiménez,FW,Mexico,31,62,37,0,0,0,0,20,32,0,0,83,35500000
A. Kramaric,FW,Croatia,31,477,215,4,2,10,4,153,176,0,2,83,35500000
S. Coates,DF,Uruguay,32,180,107,0,0,1,0,76,93,0,0,83,30000000
W. Weghorst,FW,Netherlands,30,62,22,0,2,2,2,9,15,0,0,83,37000000
T. Alderweireld,DF,Belgium,33,270,303,0,0,0,0,248,273,1,2,83,0
T. Partey,MF,Ghana,29,270,220,3,0,2,0,146,176,0,5,83,36500000
J. Stones,DF,England,28,432,475,2,0,4,1,435,454,0,2,83,41000000
P. Højbjerg,MF,Denmark,27,270,249,1,0,2,1,200,224,0,2,83,43500000
J. Pickford,GK,England,28,450,169,0,0,0,0,126,160,0,0,83,33000000
S. Kjær,DF,Denmark,33,62,68,0,0,0,0,50,59,0,0,83,23500000
M. Mount,MF,England,23,189,91,2,0,4,1,61,73,0,2,83,58500000
A. Rüdiger,DF,Germany,29,270,273,0,0,6,1,229,252,0,1,83,34500000
J. Koundé,DF,France,24,477,352,3,0,4,1,252,311,0,8,83,53000000
F. Valverde,MF,Uruguay,24,270,225,1,0,7,1,159,189,0,4,83,58000000
A. Witsel,MF,Belgium,33,270,200,0,0,1,0,169,177,0,2,83,24000000
T. Hazard,FW,Belgium,29,108,66,0,0,0,0,40,58,0,2,82,30500000
M. Götze,MF,Germany,30,36,31,0,0,1,1,21,23,0,0,82,30000000
I. Gueye,MF,Senegal,33,270,155,1,0,4,1,107,133,0,1,82,21500000
Y. Bounou,GK,Morocco,31,567,219,0,0,0,0,154,209,0,0,82,20500000
D. Upamecano,DF,France,24,477,393,0,0,1,0,314,351,0,7,82,64000000
D. Rice,MF,England,23,413,362,0,0,0,0,300,322,0,5,82,43000000
Raphinha,FW,Brazil,26,315,189,4,0,8,6,111,150,1,6,82,46000000
D. Blind,DF,Netherlands,32,423,339,1,1,5,2,252,300,1,9,82,21000000
D. Dumfries,DF,Netherlands,26,477,274,0,1,1,1,149,217,2,5,82,35000000
D. Livakovic,GK,Croatia,27,693,245,0,0,0,0,194,228,0,0,82,35000000
A. Davies,MF,Canada,22,270,156,11,1,3,1,82,114,0,1,82,57000000
C. Romero,DF,Argentina,24,549,428,1,0,0,0,337,375,0,3,82,41500000
Richarlison,FW,Brazil,25,324,97,0,3,8,4,40,58,0,2,82,46500000
J. Veretout,MF,France,29,62,43,0,0,0,0,33,36,0,0,82,29500000
C. Pulisic,FW,United States,24,315,187,4,1,9,5,83,141,2,0,82,49000000
G. Bale,FW,Wales,33,225,68,1,1,1,1,33,53,0,1,82,25000000
C. Eriksen,MF,Denmark,30,270,253,0,0,4,1,188,230,0,0,82,29500000
N. Tagliafico,DF,Argentina,30,368,220,0,0,3,1,145,178,0,7,82,27500000
N. Süle,DF,Germany,27,270,268,0,0,1,0,231,255,0,4,82,40500000
Pepe,DF,Portugal,39,360,330,1,1,3,1,243,295,0,0,82,5500000
Fred,MF,Brazil,29,144,98,0,0,3,1,71,83,0,3,81,22500000
