player,position,team,age,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won
Kylian Mbappé,FW,France,23,325,25,8,29,11,173,229,2,0
Lionel Messi,FW,Argentina,35,460,15,7,27,13,301,372,3,3
Julián Álvarez,FW,Argentina,22,174,0,4,11,8,93,121,0,2
Olivier Giroud,FW,France,36,111,0,4,16,6,48,74,0,0
Bukayo Saka,FW,England,21,147,2,3,7,5,84,108,0,4
Cody Gakpo,FW,Netherlands,23,205,5,3,5,3,93,148,0,2
Enner Valencia,FW,Ecuador,33,98,2,3,8,3,40,57,0,0
Gonçalo Ramos,FW,Portugal,21,55,0,3,7,5,25,31,1,1
Marcus Rashford,FW,England,25,92,5,3,11,6,49,66,0,0
Richarlison,FW,Brazil,25,97,0,3,8,4,40,58,0,2
Álvaro Morata,FW,Spain,30,58,1,3,8,5,28,41,1,1
Aleksandar Mitrović,FW,Serbia,28,95,1,2,10,3,54,69,0,0
Andrej Kramarić,FW,Croatia,31,215,4,2,10,4,153,176,0,2
Breel Embolo,FW,Switzerland,25,92,2,2,6,3,46,62,0,0
Bruno Fernandes,FW,Portugal,28,266,3,2,7,2,188,233,3,3
Cho Guesung,FW,Korea Republic,24,88,0,2,9,5,40,63,0,0
Ferrán Torres,FW,Spain,22,115,1,2,3,1,59,85,0,0
Giorgian De Arrascaeta,MF,Uruguay,28,69,0,2,3,3,32,52,0,1
Harry Kane,FW,England,29,138,4,2,10,5,62,98,3,1
Kai Havertz,FW,Germany,23,46,0,2,5,3,27,34,0,1
Kudus Mohammed,FW,Ghana,22,118,10,2,8,4,62,87,0,4
Mehdi Taremi,FW,IR Iran,30,123,1,2,5,1,58,78,1,3
Neymar,MF,Brazil,30,203,6,2,11,6,121,153,0,0
Niclas Füllkrug,FW,Germany,29,38,1,2,8,3,15,24,1,0
Rafael Leão,FW,Portugal,23,63,6,2,5,2,32,47,0,0
Ritsu Doan,FW,Japan,24,95,4,2,4,3,36,56,0,5
Robert Lewandowski,FW,Poland,34,153,5,2,10,2,61,91,1,2
Salem Al-Dawsari,MF,Saudi Arabia,31,146,2,2,6,4,86,111,0,4
Vincent Aboubakar,FW,Cameroon,30,50,5,2,6,3,20,31,1,0
Wout Weghorst,FW,Netherlands,30,22,0,2,2,2,9,15,0,0
Youssef En-Nesyri,FW,Morocco,25,127,5,2,9,3,50,81,0,2
Achraf Dari,DF,Morocco,23,139,0,1,1,1,99,111,0,0
Adrien Rabiot,MF,France,27,350,2,1,9,4,237,284,1,9
Alexis Mac Allister,MF,Argentina,23,332,4,1,7,4,234,265,1,4
Alphonso Davies,MF,Canada,22,156,11,1,3,1,82,114,0,1
Andreas Christensen,DF,Denmark,26,280,0,1,2,1,237,251,0,2
André Ayew,MF,Ghana,33,61,0,1,1,1,30,37,0,1
Ao Tanaka,MF,Japan,24,84,0,1,1,1,48,69,0,1
Aurélien Tchouaméni,MF,France,22,533,3,1,6,2,426,474,0,4
Bamba Dieng,FW,Senegal,22,32,0,1,4,1,9,16,0,1
Boulaye Dia,FW,Senegal,26,81,1,1,8,3,39,53,0,0
Bruno Petković,FW,Croatia,28,101,2,1,1,1,40,75,0,4
Carlos Soler,MF,Spain,25,88,1,1,4,1,78,83,0,0
Casemiro,MF,Brazil,30,302,1,1,9,3,208,251,0,4
Christian Pulisic,FW,United States,24,187,4,1,9,5,83,141,2,0
Craig Goodwin,MF,Australia,31,118,0,1,2,1,58,95,1,3
Cristiano Ronaldo,FW,Portugal,37,116,0,1,10,2,68,90,0,0
Daizen Maeda,FW,Japan,25,31,0,1,2,1,8,17,0,2
Daley Blind,DF,Netherlands,32,339,1,1,5,2,252,300,1,9
Dani Olmo,FW,Spain,24,257,4,1,12,6,162,198,1,3
Davy Klaassen,MF,Netherlands,29,96,0,1,2,1,59,77,2,2
Denzel Dumfries,DF,Netherlands,26,274,0,1,1,1,149,217,2,5
Dušan Vlahović,FW,Serbia,22,19,0,1,3,3,6,11,0,0
Enzo Fernández,MF,Argentina,21,533,3,1,8,3,412,471,1,15
Eric Maxim Choupo-Moting,FW,Cameroon,33,87,3,1,3,2,44,66,0,2
Famara Diedhiou,FW,Senegal,30,24,0,1,3,1,10,14,0,0
Frenkie de Jong,MF,Netherlands,25,408,3,1,2,1,323,364,1,5
Gareth Bale,FW,Wales,33,68,1,1,1,1,33,53,0,1
Gavi,MF,Spain,18,183,3,1,1,1,133,154,0,4
Haji Wright,FW,United States,24,44,0,1,6,2,20,27,0,0
Hakim Ziyech,FW,Morocco,29,386,12,1,10,2,211,306,1,7
Henry Martín,FW,Mexico,30,35,1,1,4,2,13,20,0,1
Hwang Hee-chan,MF,Korea Republic,26,84,3,1,6,5,45,59,0,1
Ismaila Sarr,FW,Senegal,24,133,9,1,10,1,52,81,0,2
Ivan Perišić,FW,Croatia,33,378,6,1,16,4,202,292,3,4
Jack Grealish,FW,England,27,71,3,1,1,1,48,54,0,1
Jean-Charles Castelletto,DF,Cameroon,27,109,1,1,1,1,66,82,1,3
Jordan Henderson,MF,England,32,179,0,1,2,1,137,163,0,2
João Félix,FW,Portugal,23,153,2,1,11,3,91,122,2,2
Joško Gvardiol,DF,Croatia,20,601,1,1,2,1,464,519,0,6
Juan Pablo Vargas,DF,Costa Rica,27,41,0,1,2,2,19,24,0,3
Jude Bellingham,MF,England,19,324,6,1,5,3,235,265,1,15
Kalidou Koulibaly,DF,Senegal,31,260,0,1,2,1,156,205,0,9
Keysher Fuller,DF,Costa Rica,28,92,1,1,3,2,44,63,0,4
Kim Young-gwon,DF,Korea Republic,32,232,0,1,2,1,178,209,0,2
Lovro Majer,MF,Croatia,24,122,0,1,4,2,78,98,0,1
Lucas Paquetá,MF,Brazil,25,229,0,1,4,4,169,202,1,5
Luis Chávez,MF,Mexico,26,171,2,1,10,4,99,139,0,0
Manuel Akanji,DF,Switzerland,27,287,0,1,4,1,229,259,0,2
Marco Asensio,FW,Spain,26,150,0,1,10,2,89,119,0,1
Marko Livaja,FW,Croatia,29,83,0,1,6,4,35,58,1,2
Mathew Leckie,MF,Australia,31,157,1,1,1,1,67,103,1,4
Memphis,FW,Netherlands,28,165,2,1,10,5,93,123,0,1
Michy Batshuayi,FW,Belgium,29,42,1,1,6,2,16,24,0,0
Mislav Oršić,FW,Croatia,29,81,1,1,9,2,40,54,2,3
Mitchell Duke,FW,Australia,31,96,1,1,7,4,36,63,0,0
Mohammed Muntari,FW,Qatar,28,28,0,1,3,1,17,19,0,2
Mohammed Salisu,DF,Ghana,23,184,0,1,2,1,109,151,0,1
Moisés Caicedo,MF,Ecuador,21,173,0,1,3,1,126,153,0,5
Nahuel Molina,DF,Argentina,24,398,1,1,2,1,291,358,1,4
Osman Bukari,MF,Ghana,24,29,0,1,3,1,14,20,0,0
Paik Seung-ho,MF,Korea Republic,25,30,0,1,1,1,20,27,0,2
Pepe,DF,Portugal,39,330,1,1,3,1,243,295,0,0
Phil Foden,FW,England,22,143,3,1,6,1,90,117,2,1
Piotr Zieliński,MF,Poland,28,178,1,1,3,2,124,153,0,5
Raheem Sterling,FW,England,28,68,2,1,1,1,45,55,1,1
Ramin Rezaeian,DF,IR Iran,32,130,1,1,2,1,73,105,0,5
Randal Kolo Muani,FW,France,24,76,3,1,4,2,25,44,0,5
Raphaël Guerreiro,DF,Portugal,28,207,2,1,3,1,156,185,2,2
Remo Freuler,MF,Switzerland,30,197,0,1,3,1,127,154,0,5
Ricardo Horta,FW,Portugal,28,55,0,1,3,2,31,46,0,1
Romain Saïss,DF,Morocco,32,248,1,1,1,1,159,199,0,2
Roozbeh Cheshmi,DF,IR Iran,29,19,0,1,1,1,7,11,0,0
Saleh Al-Shehri,FW,Saudi Arabia,29,73,0,1,2,2,29,47,0,1
Serge Gnabry,FW,Germany,27,148,3,1,12,4,86,118,1,2
Sergej Milinković-Savić,MF,Serbia,27,158,3,1,3,1,87,120,0,1
Strahinja Pavlović,DF,Serbia,21,186,2,1,2,1,121,156,0,2
Takuma Asano,FW,Japan,28,49,0,1,8,2,21,28,0,0
Theo Hernández,DF,France,25,383,2,1,5,2,289,339,2,13
Timothy Weah,FW,United States,22,132,2,1,5,3,90,108,0,0
Vinicius Júnior,FW,Brazil,22,132,5,1,9,4,68,90,2,1
Wahbi Khazri,FW,Tunisia,31,36,0,1,5,3,13,20,0,0
Xherdan Shaqiri,FW,Switzerland,31,111,0,1,4,2,67,104,1,0
Yeltsin Tejeda,MF,Costa Rica,30,128,0,1,2,2,78,99,1,2
Zakaria Aboukhlal,FW,Morocco,22,26,0,1,3,2,7,14,0,1
Ángel Di María,MF,Argentina,34,201,13,1,6,3,130,168,1,1
İlkay Gündoğan,MF,Germany,32,187,2,1,5,2,150,168,0,1
Aaron Mooy,MF,Australia,32,255,2,0,1,0,170,217,0,6
Aaron Ramsey,MF,Wales,31,147,2,0,1,0,88,112,0,0
Abdelhamid Sabiri,MF,Morocco,26,86,0,0,3,0,45,58,1,1
Abdelkarim Hassan,DF,Qatar,29,193,1,0,6,0,122,161,0,3
Abderrazak Hamdallah,FW,Morocco,32,28,2,0,2,1,8,15,0,0
Abdessamad Ezzalzouli,FW,Morocco,21,40,1,0,1,0,10,13,0,2
Abdou Diallo,DF,Senegal,26,210,0,0,1,0,139,186,0,2
Abdul Fatawu Issahaku,FW,Ghana,18,2,0,0,0,0,1,1,0,0
Abdulaziz Hatem,MF,Qatar,32,98,1,0,1,1,72,91,0,1
Abdulelah Al-Amri,DF,Saudi Arabia,25,129,0,0,1,0,74,104,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,28,105,0,0,2,0,66,84,0,1
Abdullah Madu,DF,Saudi Arabia,29,19,0,0,0,0,5,13,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,22,0,0,1,0,8,13,0,3
Abolfazl Jalali,DF,IR Iran,24,34,1,0,0,0,20,29,0,0
Achraf Hakimi,DF,Morocco,24,478,2,0,4,1,312,382,1,17
Agustín Canobbio,MF,Uruguay,24,11,0,0,0,0,5,7,0,1
Ahmad Nourollahi,MF,IR Iran,29,85,1,0,5,1,35,54,0,3
Ahmed Alaaeldin,FW,Qatar,29,2,0,0,0,0,0,2,0,0
Aimen Dahmen,GK,Tunisia,25,82,0,0,0,0,48,77,0,0
Ajdin Hrustic,MF,Australia,26,32,1,0,1,0,17,21,0,0
Akram Afif,FW,Qatar,26,181,3,0,2,0,139,165,0,0
Alan Franco,MF,Ecuador,24,16,0,0,0,0,10,11,0,0
Alejandro Balde,DF,Spain,19,135,0,0,1,0,112,123,0,6
Alex Sandro,DF,Brazil,31,193,1,0,1,0,150,169,0,3
Alex Telles,DF,Brazil,30,46,0,0,0,0,33,42,0,2
Alexander Bah,DF,Denmark,25,65,0,0,2,0,37,53,0,4
Alexander Djiku,DF,Ghana,28,43,0,0,0,0,22,28,0,1
Alexis Vega,FW,Mexico,25,85,1,0,9,2,40,56,0,0
Ali Abdi,DF,Tunisia,28,152,1,0,0,0,72,116,0,5
Ali Al Hassan,MF,Saudi Arabia,25,15,0,0,1,0,4,7,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33,110,0,0,0,0,78,97,0,2
Ali Assadalla,MF,Qatar,29,24,1,0,0,0,21,23,0,0
Ali Gholizadeh,MF,IR Iran,26,86,4,0,1,0,46,72,1,0
Ali Karimi,MF,IR Iran,28,55,0,0,0,0,34,45,0,3
Ali Maâloul,DF,Tunisia,32,70,0,0,0,0,39,63,0,1
Alidu Seidu,DF,Ghana,22,98,4,0,1,0,59,78,0,4
Alireza Beiranvand,GK,IR Iran,30,34,0,0,0,0,20,31,0,0
Alireza Jahanbakhsh,MF,IR Iran,29,27,1,0,3,0,11,17,0,1
Alisson,GK,Brazil,30,101,0,0,0,0,80,93,0,0
Alistair Johnston,DF,Canada,24,209,1,0,2,1,147,186,0,3
Almoez Ali,FW,Qatar,26,66,0,0,3,1,33,45,0,0
Amadou Onana,MF,Belgium,21,74,1,0,2,0,58,64,0,1
Anass Zaroury,FW,Morocco,22,15,1,0,0,0,8,13,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27,159,4,0,1,1,113,130,1,0
Andreas Cornelius,FW,Denmark,29,48,1,0,5,2,21,34,0,0
Andreas Skov Olsen,FW,Denmark,22,76,0,0,4,1,43,63,0,0
Andries Noppert,GK,Netherlands,28,205,0,0,0,0,157,192,0,0
Andrija Živković,DF,Serbia,26,118,0,0,1,0,71,96,2,3
André Onana,GK,Cameroon,26,60,0,0,0,0,45,59,0,0
André Silva,FW,Portugal,27,14,0,0,0,0,9,11,0,0
Andrés Guardado,MF,Mexico,36,22,0,0,0,0,11,16,0,2
Anis Ben Slimane,MF,Tunisia,21,72,0,0,1,1,29,46,0,1
Ansu Fati,FW,Spain,20,33,0,0,0,0,25,29,0,1
Ante Budimir,FW,Croatia,31,12,0,0,1,0,2,5,0,1
Anthony Contreras,FW,Costa Rica,22,38,0,0,0,0,15,26,0,2
Antoine Griezmann,MF,France,31,381,4,0,6,2,258,329,3,8
Antoine Semenyo,FW,Ghana,22,6,0,0,1,0,1,2,0,0
Antonee Robinson,DF,United States,25,288,4,0,0,0,173,241,0,4
Antonio Rüdiger,DF,Germany,29,273,0,0,6,1,229,252,0,1
Antony,FW,Brazil,22,145,4,0,6,2,86,109,0,0
António Silva,DF,Portugal,19,67,0,0,0,0,60,62,0,1
Ardon Jasari,FW,Switzerland,20,8,0,0,0,0,5,6,0,0
Arkadiusz Milik,FW,Poland,28,39,1,0,1,0,19,29,0,0
Artur Jędrzejczyk,DF,Poland,35,5,0,0,0,0,3,4,0,0
Asiri Haitham,FW,Saudi Arabia,21,5,0,0,0,0,1,2,0,0
Assim Madibo,MF,Qatar,26,85,0,0,0,0,58,70,0,3
Atiba Hutchinson,MF,Canada,39,131,1,0,2,0,100,112,0,1
Awer Mabil,MF,Australia,27,18,0,0,0,0,10,14,0,0
Axel Disasi,DF,France,24,90,1,0,1,0,61,78,0,2
Axel Witsel,MF,Belgium,33,200,0,0,1,0,169,177,0,2
Ayase Ueda,FW,Japan,24,23,0,0,0,0,7,12,0,0
Aymeric Laporte,DF,Spain,28,456,0,0,1,0,413,438,0,0
Aziz Behich,DF,Australia,32,249,8,0,2,0,152,203,0,3
Azzedine Ounahi,MF,Morocco,22,328,10,0,6,1,216,265,0,8
Aïssa Laïdouni,MF,Tunisia,26,156,1,0,2,0,99,123,1,3
Baba Rahman,DF,Ghana,28,121,1,0,0,0,66,100,0,3
Badr Banoun,DF,Morocco,29,28,0,0,0,0,21,22,0,0
Bailey Wright,DF,Australia,30,5,0,0,0,0,1,3,0,0
Bartosz Bereszyński,DF,Poland,30,197,1,0,0,0,122,156,0,2
Bassam Al-Rawi,DF,Qatar,25,68,1,0,0,0,47,57,0,0
Ben Davies,DF,Wales,29,184,2,0,3,2,122,161,0,2
Benjamin Pavard,DF,France,26,94,0,0,0,0,82,90,0,0
Bernardo Silva,MF,Portugal,28,309,1,0,1,0,256,292,0,2
Bilal El Khannous,MF,Morocco,18,29,0,0,0,0,20,24,0,0
Borna Barišić,DF,Croatia,30,81,0,0,1,0,50,69,0,1
Borna Sosa,DF,Croatia,24,333,2,0,2,0,220,278,0,6
Boualem Khoukhi,DF,Qatar,32,232,0,0,0,0,169,197,0,2
Brandon Aguilera,MF,Costa Rica,19,44,2,0,0,0,27,38,0,0
Brenden Aaronson,MF,United States,22,78,2,0,1,0,41,50,0,2
Brennan Johnson,FW,Wales,21,33,0,0,3,1,10,17,0,0
Bruno Guimarães,MF,Brazil,25,67,2,0,5,2,43,54,0,0
Bryan Mbeumo,FW,Cameroon,23,106,1,0,2,2,49,85,0,0
Bryan Oviedo,DF,Costa Rica,32,112,0,0,0,0,67,89,0,5
