0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Lionel Messi,Lionel Messi,Lionel Messi,Lionel Scaloni (Argentina),Lionel Scaloni (Argentina),Lionel Scaloni (Argentina)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Emiliano Martinez,Emiliano Martinez,Franco Armani,Franco Armani,Geronimo Rulli,Geronimo Rulli
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Cristian Romero,Facundo Medina,German Pezzella,Gonzalo Montiel,Lisandro Martinez,Nahuel Molina
Nehuen Perez,Nicolas Otamendi,Nicolas Tagliafico,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Alejandro Gomez,Alexis Mac Allister,Angel Di Maria,Enzo Fernandez,Giovani Lo Celso,Guido Rodriguez
Joaquin Correa,Leandro Paredes,Marcos Acuna,Rodrigo de Paul,Thiago Almada,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Angel Correa,Julian Alvarez,Lautaro Martinez,Lionel Messi,Paulo Dybala,
