0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Mat Ryan,Mat Ryan,Mat Ryan,Graham Arnold (Australia),Graham Arnold (Australia),Graham Arnold (Australia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Andrew Redmayne,Andrew Redmayne,Mat Ryan,Mat Ryan,Mitchell Langerak,Mitchell Langerak
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Aziz Behich,Bailey Wright,Fran Karacic,Harrison Delbridge,Joel King,Milos Degenek
Nathaniel Atkinson,Ryan Strain,Thomas Deng,Trent Sainsbury,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Aaron Mooy,Ajdin Hrustic,Cameron Devlin,Connor Metcalfe,Denis Genreau,Jackson Irvine
Keanu Baccus,Riley McGree,Tyrese Francois,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Adam Taggart,Awer Mabil,Garang Kuol,Jamie Maclaren,Jason Cummings,Marco Tilio
Martin Boyle,Mathew Leckie,Mitchell Duke,,,
