0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Roberto Martínez (Spain),Roberto Martínez (Spain),Roberto Martínez (Spain)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Matz Sels,Matz Sels,Koen Casteels,Koen Casteels,Simon Mignolet,Simon Mignolet
,,Thibaut Courtois,Thibaut Courtois,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Arthur Theate,Brandon Mechele,Dedryck Boyata,Jan Vertonghen,Jason Denayer,Leander Dendoncker
Thomas Meunier,Timothy Castagne,Toby Alderweireld,Wout Faes,Zeno Debast,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Alexis Saelemaekers,Amadou Mvom Onana,Axel Witsel,Charles De Ketelaere,Hans Vanaken,Kevin De Bruyne
Thorgan Hazard,Yannick Carrasco,Youri Tielemans,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Dodi Lukebakio,Dries Mertens,Eden Hazard,Leandro Trossard,Lois Openda,Michy Batshuayi
Romelu Lukaku,,,,,
