0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Tite (Brazil),Tite (Brazil),Tite (Brazil)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Alisson,Alisson,Ederson,Ederson,Weverton,Weverton
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Alex Telles,Bremer,Danilo,Eder Militao,Ibanez,Marquinhos
Renan Lodi,Thiago Silva,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Bruno Guimaraes,Casemiro,Everton Ribeiro,Fabinho,Fred,Lucas Paqueta
,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Antony,Matheus Cunha,Neymar,Pedro,Raphinha,Richarlison
Roberto Firmino,Rodrygo,Vinicius Junior,,,
