0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Rigobert Song (Cameroon),Rigobert Song (Cameroon),Rigobert Song (Cameroon)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Andre Onana,Andre Onana,Devis Epassy Mboka,Devis Epassy Mboka,Simon Ngapandouentnbu,Simon Ngapandouentnbu
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Christopher Maurice Wooh,Collins Fai,Darline Yongwa,Enzo Ebosse,Jean-Charles Castelletto,Michael Ngadeu
Nicolas Nkoulou,Nouhou Tolo,Olivier Mbaizo,Oumar Gonzalez,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Bryan Mbeumo,Gaël Ondoua,Georges Mandjeck,Georges-Kévin Nkoudou,Jean Onana,Martin Hongla
Nicolas Ngamaleu,Olivier Ntcham,Pierre Kunde Malong,Samuel Oum Gouet,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Jean-Pierre Nsamé,Karl Toko Ekambi,Léandre Tawamba,Moumi Ngamaleu,Vincent Aboubakar,
