0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,John Herdman (England),John Herdman (England),John Herdman (England)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Dayne St. Clair,Dayne St. Clair,Maxime Crépeau,Maxime Crépeau,Milan Borjan,Milan Borjan
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Alistair Johnston,Alphonso Davies,Derek Cornelius,Joel Waterman,Kamal Miller,Richie Laryea
Sam Adekugbe,Scott Kennedy,Steven Vitória,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ismael Koné,Jonathan Osorio,Junior Hoilett,Luca Koleosho,Mark-Anthony Kaye,Samuel Piette
Stephen Eustáquio,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Charles-Andreas Brym,Cyle Larin,Ike Ugbo,Jonathan David,Liam Millar,Lucas Cavallini
Tajon Buchanan,Theo Corbeanu,,,,
