0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Bryan Ruiz,Bryan Ruiz,Bryan Ruiz,Luis Fernando Suárez (Colombia),Luis Fernando Suárez (Colombia),Luis Fernando Suárez (Colombia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Aaron Cruz,Aaron Cruz,Esteban Alvarado,Esteban Alvarado,Keylor Navas,Keylor Navas
,,Patrick Sequeira,Patrick Sequeira,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Bryan Oviedo,Carlos Martinez,Carlos Mora,Douglas Lopez,Francisco Calvo,Juan Pablo Vargas
Kendall Waston,Keysher Fuller,Orlando Galo,Oscar Duarte,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Aaron Suarez,Alvaro Zamora,Anthony Hernandez,Brandon Aguilera,Celso Borges,Daniel Chacon
Gerson Torres,Johan Venegas,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Anthony Contreras,Bryan Ruiz,Jewison Bennette,Joel Campbell,Roan Wilson,
