0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Zlatko Dalić (Croatia),Zlatko Dalić (Croatia),Zlatko Dalić (Croatia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Dominik Livakovic,Dominik Livakovic,Ivica Ivusic,Ivica Ivusic,Lovre Kalinic,Lovre Kalinic
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Borna Barisic,Borna Sosa,Dejan Lovren,Domagoj Vida,Josip Juranovic,Josip Stanisic
Josip Sutalo,Josko Gvardiol,Martin Erlic,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ivan Perisic,Lovro Majer,Luka Modric,Luka Sucic,Marcelo Brozovic,Mario Pasalic
Mateo Kovacic,Nikola Vlasic,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Andrej Kramaric,Ante Budimir,Bruno Petkovic,Marko Livaja,Mislav Orsic,
