0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Kasper Hjulmand (Denmark),Kasper Hjulmand (Denmark),Kasper Hjulmand (Denmark)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Frederik Ronnow,Frederik Ronnow,Kasper Schmeichel,Kasper Schmeichel,Oliver Christensen,Oliver Christensen
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Alexander Bah,Andreas Christensen,Jens Stryger Larsen,Joachim Andersen,Joakim Maehle,Rasmus Kristensen
Simon Kjaer,Victor Nelsson,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Anders Dreyer,Casper Nielsen,Christian Eriksen,Daniel Wass,Jesper Lindstrom,Mathias Jensen
Mikkel Damsgaard,Philip Billing,Pierre-Emile Hojbjerg,Thomas Delaney,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Andreas Skov Olsen,Kasper Dolberg,Martin Braithwaite,Rasmus Hojlund,Yussuf Poulsen,
