0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Enner Valencia,Enner Valencia,Enner Valencia,Gustavo Alfaro (Argentina),Gustavo Alfaro (Argentina),Gustavo Alfaro (Argentina)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Alexander Domínguez,Alexander Domínguez,Gonzalo Valle,Gonzalo Valle,Hernan Galindez,Hernan Galindez
,,Wellington Ramírez,Wellington Ramírez,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Angelo Preciado,Byron Castillo,Diego Palacios,Jackson Porozo,Luis Fernando León,Pervis Estupinan
Piero Hincapie,William Joel Pacho Tenorio,Xavier Arreaga,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Alan Franco,Carlos Gruezo,Djorkaeff Reasco,Gonzalo Plata,José Cifuentes,Moises Caicedo
Patrickson Delgado,Sebastián Méndez,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Anthony Valencia,Enner Valencia,Jeremy Sarmiento,Michael Estrada,Nilson Angulo,Romario Ibarra
Ángel Mena,,,,,
