0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Harry Kane,Harry Kane,Harry Kane,Gareth Southgate (England),Gareth Southgate (England),Gareth Southgate (England)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Aaron Ramsdale,Aaron Ramsdale,Dean Henderson,Dean Henderson,Nick Pope,Nick Pope
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Ben Chilwell,Conor Coady,Eric Dier,Fikayo Tomori,Harry Maguire,John Stones
Kieran Trippier,Kyle Walker,Luke Shaw,Marc Guehi,Reece James,Trent Alexander-Arnold
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Declan Rice,Jack Grealish,James Ward-Prowse,Jordan Henderson,Jude Bellingham,Mason Mount
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Harry Kane,Ivan Toney,Jarrod Bowen,Raheem Sterling,Tammy Abraham,Bukayo Saka
Phil Foden,,,,,
