0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Didier Deschamps (France),Didier Deschamps (France),Didier Deschamps (France)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Alban Lafont,Alban Lafont,Alphonse Areola,Alphonse Areola,Steve Mandanda,Steve Mandanda
,,Hugo Lloris,Hugo Lloris,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Adrien Truffert,Benjamin Pavard,Benoit Badiashile Mukinayi,Dayotchanculle Upamecano,Ferland Mendy,Jonathan Clauss
Raphael Varane,William Saliba,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Aurelien Tchouameni,Eduardo Camavinga,Jordan Veretout,Matteo Guendouzi,N’Golo Kante,Youssouf Fofana
,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Antoine Griezmann,Christopher Nkunku,Karim Benzema,Kylian Mbappe,Olivier Giroud,Ousmane Dembele
Randal Kolo Muani,,,,,
