0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Hansi Flick (Germany),Hansi Flick (Germany),Hansi Flick (Germany)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Kevin Trapp,Kevin Trapp,Manuel Neuer,Manuel Neuer,Marc-Andre ter Stegen,Marc-Andre ter Stegen
,,Oliver Baumann,Oliver Baumann,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Antonio Rudiger,Armel Bella Kotchap,Benjamin Henrichs,David Raum,Matthias Ginter,Nico Schlotterbeck
Niklas Suele,Robin Gosens,Thilo Kehrer,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ilkay Guendogan,Jonas Hofmann,Joshua Kimmich,Kai Havertz,Maximilian Arnold,
,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Jamal Musiala,Leroy Sane,Lukas Nmecha,Serge Gnabry,Thomas Muller,Timo Werner
