0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Otto Addo (Ghana),Otto Addo (Ghana),Otto Addo (Ghana)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Abdul Manaf Nurudeen,Abdul Manaf Nurudeen,Joseph Wollacott,Joseph Wollacott,Richard Ofori,Richard Ofori
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Alexander Djiku,Alidu Seidu,Baba Rahman,Daniel Amartey,Denis Odoi,Gideon Mensah
Joseph Aidoo,Mohammed Salisu,Stephen Ambrosius,Tariq Lamptey,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Daniel-Kofi Kyereh,Elisha Owusu,Fatawu Issahaku,Iddrisu Baba,Kamal Deen Sulemana,Mohammed Kudus
Thomas Partey,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
André Ayew,Antoine Semenyo,Benjamin Tetteh,Daniel Barnieh,Felix Afena-Gyan,Iñaki Williams
Jordan Ayew,Osman Bukari,Ransford-Yeboah Königsdörffer,,,
