0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Dragan Skočić (Croatia),Dragan Skočić (Croatia),Dragan Skočić (Croatia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Amir Abedzadeh,Amir Abedzadeh,Alireza Beiranvand,Alireza Beiranvand,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Ehsan Hajsafi,,,,,
,,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Omid Noorafkan,Ahmad Nourollahi,,,,
,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Mehdi Taremi,Sardar Azmoun,Karim Ansarifard,Alireza Jahanbakhsh,,
