0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Dragan Skočić (Croatia),Dragan Skočić (Croatia),Dragan Skočić (Croatia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Alireza Beiranvand,Alireza Beiranvand,Amir Abedzadeh,Amir Abedzadeh,Hossein Hosseini,Hossein Hosseini
,,Sayedpayam Niazmand,Sayedpayam Niazmand,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Abolfazl Jalali,Hossein Kanani,Majid Hosseini,Milad Mohammadi,Morteza Pouraliganji,Omid Norafkan
Ramin Rezaeian,Sadegh Moharrami,Saleh Hardani Kherad,Shojae Khalilzadeh,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ahmad Nourollahi,Ali Gholizadeh,Ehsan Hajsafi,Mehdi Torabi,Milad Sarlak Chiva,Omid Ebrahimi
Saeid Ezatolahi,Vahid Amiri,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Alireza Jahanbakhsh,Karim Ansarifard,Mehdi Taremi,Saman Ghoddos,Sardar Azmoun,
