0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Hajime Moriyasu (Japna),Hajime Moriyasu (Japna),Hajime Moriyasu (Japna)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Daniel Schmidt,Daniel Schmidt,Eiji Kawashima,Eiji Kawashima,Kosei Tani,Kosei Tani
,,Shūichi Gonda,Shūichi Gonda,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Ayumu Seko,Hiroki Ito,Hiroki Sakai,Maya Yoshida,Miki Yamane,Shogo Taniguchi
Takehiro Tomiyasu,Yuta Nakayama,Yuto Nagatomo,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ao Tanaka,Daichi Kamada,Gaku Shibasaki,Genki Haraguchi,Hidemasa Morita,Kaoru Mitoma
Reo Hatate,Takefusa Kubo,Takumi Minamino,Wataru Endo,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Ayase Ueda,Daizen Maeda,Junya Ito,Kyogo Furuhashi,Ritsu Doan,Shuto Machino
Yuki Soma,,,,,
