0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Gerardo Martino (Argentina),Gerardo Martino (Argentina),Gerardo Martino (Argentina)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Alfredo Talavera,Alfredo Talavera,Francisco Guillermo Ochoa,Francisco Guillermo Ochoa,Rodolfo Cota,Rodolfo Cota
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Cesar Montes,Gerardo Arteaga,Hector Moreno,Jesus Angulo,Johan Vasquez,Kevin Alvarez
Nestor Araujo,,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Andres Guardado,Carlos Rodriguez,Diego Lainez,Edson Alvarez,Erick Gutierrez,Fernando Beltran
Hector Herrera,Jesus Gallardo,Luis Chavez,Orbelin Pineda,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Alexis Vega,Erick Sanchez,Henry Martin,Hirving Lozano,Raul Jimenez,Roberto Alvarado
Santiago Gimenez,Uriel Antuna,,,,
