0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Vahid Halilhodžić (Bosnia & Herzegovina),Vahid Halilhodžić (Bosnia & Herzegovina),Vahid Halilhodžić (Bosnia & Herzegovina)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Ahmed Tagnaouti,Ahmed Tagnaouti,Anass Zniti,Anass Zniti,Bono,Bono
,,Munir El Kajoui,Munir El Kajoui,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Achraf Dari,Achraf Hakimi,Badr Banoun,Fahd Moufi,Jawad El Yamiq,Noussair Mazraoui
Romain Saiss,Samy Mmaee,Yahia Attiyat Allah,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Abdelhamid Sabiri,Amine Harit,Azz-Eddine Ounahi,Hakim Ziyech,Ilias Chair,Selim Amallah
Sofyan Amrabat,Yahya Jabrane,Younes Belhanda,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Abdessamad Ezzalzouli,Ayoub El Kaabi,Munir El Haddadi,Ryan Mmaee,Sofiane Boufal,Soufiane Rahimi
Walid Cheddira,Youssef En-Nesyri,Zakaria Aboukhlal,,,
