0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Louis van Gaal (Netherlands),Louis van Gaal (Netherlands),Louis van Gaal (Netherlands)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Andries Noppert,Andries Noppert,Jasper Cillessen,Jasper Cillessen,Mark Flekken,Mark Flekken
,,Remko Pasveer,Remko Pasveer,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Daley Blind,Denzel Dumfries,Devyne Rensch,Jurriën Timber,Matthijs de Ligt,Nathan Aké
Stefan de Vrij,Tyrell Malacia,Virgil van Dijk,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Davy Klaassen,Frenkie de Jong,Kenneth Taylor,Marten de Roon,Ryan Gravenberch,
,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Brian Brobbey,Cody Gakpo,Memphis Depay,Steven Berghuis,Steven Bergwijn,Vincent Janssen
Wout Weghorst,,,,,
