0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Robert Lewandowski,Robert Lewandowski,Robert Lewandowski,Czesław Michniewicz (Poland),Czesław Michniewicz (Poland),Czesław Michniewicz (Poland)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Bartlomiej Dragowski,Bartlomiej Dragowski,Lukasz Skorupski,Lukasz Skorupski,Radoslaw Majecki,Radoslaw Majecki
,,Wojciech Szczesny,Wojciech Szczesny,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Bartosz Bereszynski,Jakub Kiwior,Jan Bednarek,Kamil Glik,Mateusz Wieteska,Pawel Dawidowicz
Robert Gumny,Tomasz Kedziora,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Arkadiusz Reca,Grzegorz Krychowiak,Jakub Kaminski,Jakub Piotrowski,Kamil Grosicki,Karol Linetty
Mateusz Klich,Mateusz Legowski,Michal Skoras,Piotr Zielinski,Przemyslaw Frankowski,Sebastian Szymanski
Szymon Zurkowski,,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Arkadiusz Milik,Karol Swiderski,Krzysztof Piatek,Nicola Zalewski,Robert Lewandowski,
