0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Fernando Santos (Portugal),Fernando Santos (Portugal),Fernando Santos (Portugal)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Diogo Costa,Diogo Costa,Jose Sa,Jose Sa,Rui Patricio,Rui Patricio
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Diogo Dalot,Joao Cancelo,Mario Rui,Nuno Mendes,Ruben Dias,Tiago Djalo
Danilo Pereira,,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Bernardo Silva,Bruno Fernandes,Joao Mario,Joao Palhinha,Matheus Nunes,Ruben Neves
Vitor Ferreira,William Carvalho,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Cristiano Ronaldo,Diogo Jota,Goncalo Ramos,Joao Felix,Pedro Neto,Rafael Leao
Ricardo Horta,,,,,
