0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Hassan Al-Haydos,Hassan Al-Haydos,Hassan Al-Haydos,Félix Sánchez (Spain),Félix Sánchez (Spain),Félix Sánchez (Spain)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Meshaal Barsham,Meshaal Barsham,Saad Al Sheeb,Saad Al Sheeb,Salah Zakaria,Salah Zakaria
,,Yousof Hassan,Yousof Hassan,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Abdelkarim Hassan,Ahmed Fadel Hasaba,Ahmed Suhail,Bassam Al Rawi,Boualem Khoukhi,Homam Ahmed
Jassem Gaber Abdulsallam,Mohamed Emad Ayash,Musaab Khidir,Ró-Ró,Salem Al Hajri,Tarek Salman
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Abdelaziz Hatim,Abdelrahman Fahmi Moustafa,Ali Asad,Assim Madabo,Hazem Shehata,Ismail Mohamad
Karim Boudiaf,Mohammed Waad,Moustafa Tarek,Naif Abdulraheem Al Hadhrami,Osamah Al Tairi,Yusuf Abdurisag
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Ahmed Alaa,Akram Afif,Almoez Ali,Hasan Al Haydos,Khalid Muneer Ali,Mohammed Muntari
