0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Hervé Renard (France),Hervé Renard (France),Hervé Renard (France)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Fawaz Al-Qarni,Fawaz Al-Qarni,Mohammed Al-Owais,Mohammed Al-Owais,Mohammed Al-Rubaie,Mohammed Al-Rubaie
,,Nawaf Alaqidi,Nawaf Alaqidi,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Abdulelah Al Amri,Abdullah Madu,Ahmed Bamasud,Ali Albulayhi,Hassan Al Tambakti,Saud Abdulhamid
Sultan Al-Ghannam,Yasir Al Shahrani,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ali Al Hassan,Awad Al Nashri,Hattan Bahebri,Mohammed Kanno,Nasser Al Dawsari,Nawaf Al Abid
Riyadh Sharahili,Salem Al Dawsari,Salman Al Faraj,Sami Al Najei,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Asiri Haitham,Fahad Al Muwallad,Firas Al Brikan,Haitham Asiri,Haroune Camara,
