0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Kalidou Koulibaly,Kalidou Koulibaly,Kalidou Koulibaly,Aliou Cissé (Senegal),Aliou Cissé (Senegal),Aliou Cissé (Senegal)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Alfred Gomis,Alfred Gomis,Edouard Mendy,Edouard Mendy,Mory Diaw,Mory Diaw
,,Timothy Dieng,Timothy Dieng,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Abdou Diallo,Fode Ballo-Toure,Formose Mendy,Ismail Jakobs,Kalidou Koulibaly,Moussa Niakhate
Noah Fadiga,Pape Abou Cisse,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Cheikhou Kouyate,Idrissa Gueye,Iliman Ndiaye,Mamadou Loum Ndiaye,Moustapha Name,Nampalys Mendy
Pape Alassane Gueye,Pape Sarr,Pathe Ciss,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Ahmadou Bamba Dieng,Boulaye Dia,Demba Seck,Ismaila Sarr,Krepin Diatta,Nicolas Jackson
Sadio Mane,,,,,
