0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Dragan Stojković (Serbia),Dragan Stojković (Serbia),Dragan Stojković (Serbia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Marko Dmitrovic,Marko Dmitrovic,Marko Ilic,Marko Ilic,Vanja Milinkovic-Savic,Vanja Milinkovic-Savic
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Aleksa Terzic,Filip Mladenovic,Milos Veljkovic,Srdjan Babic,Stefan Mitrovic,Strahinja Erakovic
Strahinja Pavlovic,,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Andrija Zivkovic,Darko Lazovic,Erhan Masovic,Filip Djuricic,Filip Kostic,Ivan Ilic
Nemanja Gudelj,Nemanja Maksimovic,Nemanja Radonjic,Sasa Lukic,Sergej Milinkovic-Savic,Uros Racic
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Aleksandar Mitrovic,Dusan Tadic,Dusan Vlahovic,Luka Jovic,,
