0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Luis Enrique (Spain),Luis Enrique (Spain),Luis Enrique (Spain)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
David Raya Martin,David Raya Martin,Robert Sanchez,Robert Sanchez,Unai Simon,Unai Simon
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Aymeric Laporte,Cesar Azpilicueta,Daniel Carvajal,Diego Llorente,Eric Garcia,Hugo Guillamon
Jordi Alba,Jose Gaya,Pau Torres,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Carlos Soler,Gavi,Koke,Marcos Llorente,Pablo Sarabia,Pedri
Rodri,Sergio Busquets,Yeremi Pino,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Alvaro Morata,Borja Iglesias,Ferran Torres,Marco Asensio,Nico Williams,
