0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Murat Yakin (Switzerland),Murat Yakin (Switzerland),Murat Yakin (Switzerland)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
David Von Ballmoos,David Von Ballmoos,Jonas Omlin,Jonas Omlin,Yann Sommer,Yann Sommer
,,Yvon Mvogo,Yvon Mvogo,,
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Eray Coemert,Fabian Schaer,Kevin Mbabu,Manuel Akanji,Nico Elvedi,Ricardo Rodriguez
Silvan Widmer,,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Ardon Jashari,Denis Zakaria,Djibril Sow,Fabian Frei,Granit Xhaka,Michel Aebischer
Remo Freuler,Renato Steffen,Ruben Vargas,Xherdan Shaqiri,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Breel Embolo,Cedric Itten,Dan Ndoye,Haris Seferovic,Zeki Amdouni,
