0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Jalel Kadri (Tunisia),Jalel Kadri (Tunisia),Jalel Kadri (Tunisia)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Aymen Dahmen,Aymen Dahmen,Bechir Ben Said,Bechir Ben Said,Sedki Debchi,Sedki Debchi
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Ali El Abdi,Ali Maaloul,Bilel Ifa,Dylan Bronn,Hamza Mathlouthi,Mohamed Draeger
Montassar Talbi,Omar Rekik,Rami Kaib,Yan Valery,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Aissa Bilal Laidouni,Anis Ben Slimane,Chaim El Djebali,Ellyes Skhiri,Ferjani Sassi,Ghilane Chaalali
Hannibal Mejbri,Mortadha Ben Ouanes,Nader Ghandri,Naim Sliti,Saif-Eddine Khaoui,Sayfallah Ltaief
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Issam Jebali,Seifeddine Jaziri,Taha Khenissi,Wahbi Khazri,Youssef Msakni,
