0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Gregg Berhalter (USA),Gregg Berhalter (USA),Gregg Berhalter (USA)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Ethan Horvath,Ethan Horvath,Matt Turner,Matt Turner,Sean Johnson,Sean Johnson
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Aaron Long,DeAndre Yedlin,Erik Palmer-Brown,Joe Scally,Reggie Cannon,Sam Vines
Sergino Dest,Walker Zimmerman,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Brenden Aaronson,Christian Pulisic,Giovanni Reyna,Johnny,Kellyn Acosta,Luca de la Torre
Paul Arriola,Tyler Adams,Weston McKennie,Yunus Musah,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Jesús Ferreira,Jordan Morris,Joshua Sargent,Malik Tillman,Mark McKenzie,Ricardo Pepi
