0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Diego Alonso (Uruguay),Diego Alonso (Uruguay),Diego Alonso (Uruguay)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Fernando Muslera,Fernando Muslera,Sebastian Sosa,Sebastian Sosa,Sergio Rochet,Sergio Rochet
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Agustin Rogel,Damian Suarez,Guillermo Varela,Leandro Cabrera,Martin Caceres,Mathias Olivera
Matias Vina,Sebastian Caceres,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Facundo Pellistri,Federico Valverde,Giorgian de Arrascaeta,Lucas Torreira,Manuel Ugarte,Matias Vecino
Nicolas De La Cruz,Rodrigo Bentancur,,,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Agustin Canobbio,Brian Ocampo,Darwin Nunez,Diego Rossi,Edinson Cavani,Luis Suarez
Martin Satriano,,,,,
