0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
Gareth Bale,Gareth Bale,Gareth Bale,Rob Page (Wales),Rob Page (Wales),Rob Page (Wales)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Danny Ward,Danny Ward,Tom King,Tom King,Wayne Hennessey,Wayne Hennessey
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Ben Cabango,Ben Davies,Chris Gunter,Chris Mepham,Connor Roberts,Ethan Ampadu
Joe Rodon,Neco Williams,Rhys Norrington-Davies,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Aaron Ramsey,Daniel James,Dylan Levitt,Joe Morrell,Jonny Williams,Jordan James
Luke Harris,Mark Harris,Rubin Colwill,Sorba Thomas,,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Brennan Johnson,Gareth Bale,Kieffer Moore,Matt Smith,Rabbi Matondo,Tyler Roberts
Wes Burns,,,,,
