0,1,2,3,4,5
Captain,Captain,Captain,Coach,Coach,Coach
,,,Paulo Bento (Portugal),Paulo Bento (Portugal),Paulo Bento (Portugal)
Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers,Goalkeepers
Kim Dong-Jun,Kim Dong-Jun,Kim Seung-gyu,Kim Seung-gyu,Song Bum-Keun,Song Bum-Keun
Defenders,Defenders,Defenders,Defenders,Defenders,Defenders
Hong Chul,Kim Jin-Su,Kim Min-Jae,Kim Moon-Hwan,Kim Tae-Hwan,Kim Young-Gwon
Kwon Kyung-Won,Yoon Jong-Gyu,,,,
Midfielders,Midfielders,Midfielders,Midfielders,Midfielders,Midfielders
Cho Yu-Min,Hwang In-Beom,Lee Jae-Sung II,Jung Woo-Young,Kwon Chang-Hoon,Lee Kang-In
Na Sang-Ho,Paik Seung-Ho,Son Jun-Ho,Jeong Woo-Yeong,Yang Hyun-Jun,
Forwards,Forwards,Forwards,Forwards,Forwards,Forwards
Cho Young-Wook,Hwang Hee-Chan,Hwang Ui-Jo,Son Heung-Min,,
