Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Argentina,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Argentina,1. FIFA World Cup,R16,4,1,1,2,6,9,-3,4,Sergio Agüero - 2,"Willy Caballero, Franco Armani",
2014,Argentina,1. FIFA World Cup,2nd,7,5,1,1,8,4,4,16,Lionel Messi - 4,Sergio Romero,
2010,Argentina,1. FIFA World Cup,QF,5,4,0,1,10,6,4,12,Gonzalo Higuaín - 4,Sergio Romero,
2006,Argentina,1. FIFA World Cup,QF,5,3,2,0,11,3,8,11,Hernán Crespo - 3,Pato Abbondanzieri,
2002,Argentina,1. FIFA World Cup,GR,3,1,1,1,2,2,0,4,"Hernán Crespo, Gabriel Batistuta - 1",Pablo Cavallero,
1998,Argentina,1. FIFA World Cup,QF,5,3,1,1,10,4,6,10,Gabriel Batistuta - 5,Carlos Roa,
1994,Argentina,1. FIFA World Cup,R16,4,2,0,2,8,6,2,6,Gabriel Batistuta - 4,Luis Islas,
1990,Argentina,1. FIFA World Cup,2nd,7,2,3,2,5,4,1,7,Claudio Caniggia - 2,Sergio Goycochea,
1986,Argentina,1. FIFA World Cup,1st,7,6,1,0,14,5,9,13,Diego Maradona - 5,Nery Pumpido,
1982,Argentina,1. FIFA World Cup,2R,5,2,0,3,8,7,1,4,"Daniel Passarella, Diego Maradona... - 2",Ubaldo Fillol,
1978,Argentina,1. FIFA World Cup,1st,7,5,1,1,15,4,11,11,Mario Kempes - 6,Ubaldo Fillol,
1974,Argentina,1. FIFA World Cup,2R,6,1,2,3,9,12,-3,4,René Houseman - 3,Daniel Carnevali,
1966,Argentina,1. FIFA World Cup,QF,4,2,1,1,4,2,2,5,Luis Artime - 3,Antonio Roma,
1962,Argentina,1. FIFA World Cup,GR,3,1,1,1,2,3,-1,3,"José Sanfilippo, Héctor Facundo - 1",Antonio Roma,
1958,Argentina,1. FIFA World Cup,GR,3,1,0,2,5,10,-5,2,Oreste Corbatta - 3,Amadeo Carrizo,
1934,Argentina,1. FIFA World Cup,R16,1,0,0,1,2,3,-1,0,"Ernesto Belis, Alberto Galateo - 1",Héctor Freschi,
1930,Argentina,1. FIFA World Cup,2nd,5,4,0,1,18,9,9,8,Guillermo Stábile - 8,Ángel Bossio,
