Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
jp Japan,13,2,5,6,11,16,-5,0.85,Head-to-Head
om Oman,11,6,4,1,23,8,+15,2.00,Head-to-Head
kw Kuwait,8,5,1,2,18,6,+12,2.00,Head-to-Head
iq Iraq,8,5,1,2,9,6,+3,2.00,Head-to-Head
jo Jordan,8,5,0,3,14,7,+7,1.88,Head-to-Head
sa Saudi Arabia,7,4,2,1,15,10,+5,2.00,Head-to-Head
ae United Arab Emirates,6,4,1,1,7,2,+5,2.17,Head-to-Head
kr Korea Republic,6,1,2,3,4,6,-2,0.83,Head-to-Head
bh Bahrain,5,5,0,0,9,1,+8,3.00,Head-to-Head
th Thailand,5,4,1,0,11,4,+7,2.60,Head-to-Head
qa Qatar,5,3,1,1,10,2,+8,2.00,Head-to-Head
cn China PR,5,2,2,1,6,2,+4,1.60,Head-to-Head
de Germany,5,0,1,4,7,16,-9,0.20,Head-to-Head
uz Uzbekistan,4,3,1,0,9,0,+9,2.50,Head-to-Head
sy Syria,3,2,1,0,6,4,+2,2.33,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
br Brazil,3,1,0,2,1,6,-5,1.00,Head-to-Head
cl Chile,3,0,2,1,2,4,-2,0.67,Head-to-Head
kg Kyrgyz Republic,2,2,0,0,5,1,+4,3.00,Head-to-Head
bd Bangladesh,2,2,0,0,9,0,+9,3.00,Head-to-Head
tj Tajikistan,2,2,0,0,10,0,+10,3.00,Head-to-Head
vn Vietnam,2,2,0,0,5,0,+5,3.00,Head-to-Head
nz New Zealand,2,2,0,0,3,0,+3,3.00,Head-to-Head
np Nepal,2,2,0,0,8,0,+8,3.00,Head-to-Head
tw Chinese Taipei,2,2,0,0,12,2,+10,3.00,Head-to-Head
id Indonesia,2,1,1,0,1,0,+1,2.00,Head-to-Head
fr France,2,1,0,1,2,2,0,1.50,Head-to-Head
gr Greece,2,1,0,1,2,2,0,1.50,Head-to-Head
pe Peru,2,0,1,1,0,2,-2,0.50,Head-to-Head
hr Croatia,2,0,1,1,2,3,-1,0.50,Head-to-Head
in India,1,1,0,0,4,0,+4,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
rs Serbia,1,1,0,0,2,1,+1,3.00,Head-to-Head
cz Czech Republic,1,1,0,0,4,0,+4,3.00,Head-to-Head
lb Lebanon,1,1,0,0,3,0,+3,3.00,Head-to-Head
ps Palestine,1,1,0,0,3,0,+3,3.00,Head-to-Head
hu Hungary,1,1,0,0,2,1,+1,3.00,Head-to-Head
mx Mexico,1,1,0,0,2,0,+2,3.00,Head-to-Head
co Colombia,1,0,1,0,0,0,0,1.00,Head-to-Head
za South Africa,1,0,1,0,1,1,0,1.00,Head-to-Head
dk Denmark,1,0,1,0,1,1,0,1.00,Head-to-Head
mk North Macedonia,1,0,1,0,0,0,0,1.00,Head-to-Head
gh Ghana,1,0,1,0,1,1,0,1.00,Head-to-Head
cm Cameroon,1,0,1,0,1,1,0,1.00,Head-to-Head
no Norway,1,0,0,1,1,4,-3,0.00,Head-to-Head
tn Tunisia,1,0,0,1,0,2,-2,0.00,Head-to-Head
es Spain,1,0,0,1,0,3,-3,0.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
nl Netherlands,1,0,0,1,2,3,-1,0.00,Head-to-Head
be Belgium,1,0,0,1,0,2,-2,0.00,Head-to-Head
it Italy,1,0,0,1,0,1,-1,0.00,Head-to-Head
ar Argentina,1,0,0,1,2,4,-2,0.00,Head-to-Head
eng England,1,0,0,1,1,2,-1,0.00,Head-to-Head
ec Ecuador,1,0,0,1,3,4,-1,0.00,Head-to-Head
