Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Belgium,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Belgium,1. FIFA World Cup,3rd,7,6,0,1,16,6,10,18,Romelu Lukaku - 4,Thibaut Courtois,
2014,Belgium,1. FIFA World Cup,QF,5,4,0,1,6,3,3,12,"Jan Vertonghen, Marouane Fellaini... - 1",Thibaut Courtois,
2002,Belgium,1. FIFA World Cup,R16,4,1,2,1,6,7,-1,5,Marc Wilmots - 3,Geert De Vlieger,
1998,Belgium,1. FIFA World Cup,GR,3,0,3,0,3,3,0,3,Marc Wilmots - 2,Filip De Wilde,
1994,Belgium,1. FIFA World Cup,R16,4,2,0,2,4,4,0,6,Philippe Albert - 2,Michel Preud'homme,
1990,Belgium,1. FIFA World Cup,R16,4,2,0,2,6,4,2,4,"Michel De Wolf, Patrick Vervoort... - 1",Michel Preud'homme,
1986,Belgium,1. FIFA World Cup,4th,7,2,2,3,12,15,-3,6,"Nico Claesen, Jan Ceulemans - 3",Jean-Marie Pfaff,
1982,Belgium,1. FIFA World Cup,2R,5,2,1,2,3,5,-2,5,"Alexandre Czerniatynski, Ludo Coeck... - 1",Jean-Marie Pfaff,
1970,Belgium,1. FIFA World Cup,GR,3,1,0,2,4,5,-1,2,"Wilfried Van Moer, Raoul Lambert - 2",Christian Piot,
1954,Belgium,1. FIFA World Cup,GR,2,0,1,1,5,8,-3,1,Léopold Anoul - 3,Léopold Gernaey,
1938,Belgium,1. FIFA World Cup,R16,1,0,0,1,1,3,-2,0,Henri Isemborghs - 1,Arnold Badjou,
1934,Belgium,1. FIFA World Cup,R16,1,0,0,1,2,5,-3,0,Bernard Voorhoof - 2,André Vandewyer,
1930,Belgium,1. FIFA World Cup,GR,2,0,0,2,0,4,-4,0,,Arnold Badjou,
