Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Brazil,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Brazil,1. FIFA World Cup,QF,5,3,1,1,8,3,5,10,"Philippe Coutinho, Neymar - 2",Alisson,
2014,Brazil,1. FIFA World Cup,4th,7,3,2,2,11,14,-3,11,Neymar - 4,Júlio César,
2010,Brazil,1. FIFA World Cup,QF,5,3,1,1,9,4,5,10,Luís Fabiano - 3,Júlio César,
2006,Brazil,1. FIFA World Cup,QF,5,4,0,1,10,2,8,12,Ronaldo - 3,Dida,
2002,Brazil,1. FIFA World Cup,1st,7,7,0,0,18,4,14,21,Ronaldo - 8,Marcos,
1998,Brazil,1. FIFA World Cup,2nd,7,4,1,2,14,10,4,13,Ronaldo - 4,Cláudio Taffarel,
1994,Brazil,1. FIFA World Cup,1st,7,5,2,0,11,3,8,17,Romário - 5,Cláudio Taffarel,
1990,Brazil,1. FIFA World Cup,R16,4,3,0,1,4,2,2,6,"Careca, Müller - 2",Cláudio Taffarel,
1986,Brazil,1. FIFA World Cup,QF,5,4,1,0,10,1,9,9,Careca - 5,Carlos Roberto Gallo,
1982,Brazil,1. FIFA World Cup,2R,5,4,0,1,15,6,9,8,Zico - 4,Waldir Peres,
1978,Brazil,1. FIFA World Cup,3rd,7,4,3,0,10,3,7,11,"Roberto Dinamite, Dirceu - 3",Émerson Leão,
1974,Brazil,1. FIFA World Cup,4th,7,3,2,2,6,4,2,8,Rivellino - 3,Émerson Leão,
1970,Brazil,1. FIFA World Cup,1st,6,6,0,0,19,7,12,12,Jairzinho - 7,Félix Miélli Venerando,
1966,Brazil,1. FIFA World Cup,GR,3,1,0,2,4,6,-2,2,"Rildo da Costa Menezes, Garrincha... - 1",Gylmar dos Santos Neves,
1962,Brazil,1. FIFA World Cup,1st,6,5,1,0,14,5,9,11,"Garrincha, Vavá - 4",Gylmar dos Santos Neves,
1958,Brazil,1. FIFA World Cup,1st,6,5,1,0,16,4,12,11,Pelé - 6,Gylmar dos Santos Neves,
1954,Brazil,1. FIFA World Cup,QF,3,1,1,1,8,5,3,3,"Didi, José Lázaro Robles... - 2",Carlos José Castilho,
1950,Brazil,1. FIFA World Cup,2nd,6,4,1,1,22,6,16,9,Ademir - 8,Moacir Barbosa Nascimento,
1938,Brazil,1. FIFA World Cup,3rd,5,3,1,1,14,11,3,7,Leônidas - 7,Walter de Souza Goulart,
1934,Brazil,1. FIFA World Cup,R16,1,0,0,1,1,3,-2,0,Leônidas - 1,Roberto Gomes Pedrosa,
1930,Brazil,1. FIFA World Cup,GR,2,1,0,1,5,2,3,2,Preguinho - 3,"Osvaldo Velloso de Barros, Joel de Oliveira Monteiro",
