Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ci Côte d'Ivoire,7,4,1,2,11,6,+5,1.86,Head-to-Head
tg Togo,6,5,0,1,12,2,+10,2.50,Head-to-Head
ly Libya,6,4,1,1,7,2,+5,2.17,Head-to-Head
zm Zambia,6,3,3,0,11,8,+3,2.00,Head-to-Head
cd Congo DR,6,3,3,0,6,2,+4,2.00,Head-to-Head
ng Nigeria,6,1,2,3,4,11,-7,0.83,Head-to-Head
ga Gabon,5,3,1,1,6,3,+3,2.00,Head-to-Head
tn Tunisia,5,2,3,0,7,3,+4,1.80,Head-to-Head
bf Burkina Faso,5,2,2,1,9,8,+1,1.60,Head-to-Head
cv Cape Verde,5,2,2,1,6,5,+1,1.60,Head-to-Head
eg Egypt,5,1,2,2,6,8,-2,1.00,Head-to-Head
br Brazil,5,1,0,4,2,10,-8,0.60,Head-to-Head
mz Mozambique,4,4,0,0,10,2,+8,3.00,Head-to-Head
mw Malawi,4,3,1,0,7,0,+7,2.50,Head-to-Head
dz Algeria,4,2,1,1,5,3,+2,1.75,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ma Morocco,4,2,1,1,3,2,+1,1.75,Head-to-Head
gm Gambia,3,3,0,0,5,0,+5,3.00,Head-to-Head
bj Benin,3,2,1,0,6,2,+4,2.33,Head-to-Head
ne Niger,3,2,1,0,4,0,+4,2.33,Head-to-Head
km Comoros,3,2,1,0,6,2,+4,2.33,Head-to-Head
rw Rwanda,3,1,2,0,2,1,+1,1.67,Head-to-Head
co Colombia,3,2,0,1,3,5,-2,1.67,Head-to-Head
za South Africa,3,0,3,0,3,3,0,1.00,Head-to-Head
jp Japan,3,0,1,2,0,3,-3,0.33,Head-to-Head
de Germany,3,0,1,2,3,7,-4,0.33,Head-to-Head
so Somalia,2,2,0,0,6,0,+6,3.00,Head-to-Head
mu Mauritius,2,2,0,0,8,0,+8,3.00,Head-to-Head
mr Mauritania,2,2,0,0,2,0,+2,3.00,Head-to-Head
gw Guinea-Bissau,2,2,0,0,4,1,+3,3.00,Head-to-Head
sl Sierra Leone,2,1,1,0,2,0,+2,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
tz Tanzania,2,1,1,0,2,1,+1,2.00,Head-to-Head
sd Sudan,2,1,1,0,3,2,+1,2.00,Head-to-Head
gh Ghana,2,1,1,0,2,0,+2,2.00,Head-to-Head
ao Angola,2,1,0,1,3,2,+1,1.50,Head-to-Head
ml Mali,2,0,2,0,2,2,0,1.00,Head-to-Head
cl Chile,2,0,1,1,1,3,-2,0.50,Head-to-Head
gn Guinea,2,0,1,1,2,3,-1,0.50,Head-to-Head
it Italy,2,0,1,1,1,4,-3,0.50,Head-to-Head
fr France,2,0,0,2,2,4,-2,0.00,Head-to-Head
mk North Macedonia,1,1,0,0,2,0,+2,3.00,Head-to-Head
tr Turkey,1,1,0,0,1,0,+1,3.00,Head-to-Head
ca Canada,1,1,0,0,2,0,+2,3.00,Head-to-Head
id Indonesia,1,1,0,0,1,0,+1,3.00,Head-to-Head
th Thailand,1,1,0,0,3,2,+1,3.00,Head-to-Head
bi Burundi,1,1,0,0,1,0,+1,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
kw Kuwait,1,1,0,0,3,1,+2,3.00,Head-to-Head
sa Saudi Arabia,1,1,0,0,1,0,+1,3.00,Head-to-Head
et Ethiopia,1,1,0,0,4,1,+3,3.00,Head-to-Head
md Moldova,1,1,0,0,1,0,+1,3.00,Head-to-Head
ar Argentina,1,1,0,0,1,0,+1,2.00,Head-to-Head
ro Romania,1,1,0,0,2,1,+1,2.00,Head-to-Head
sn Senegal,1,0,1,0,0,0,0,1.00,Head-to-Head
us United States,1,0,1,0,0,0,0,1.00,Head-to-Head
pe Peru,1,0,1,0,0,0,0,1.00,Head-to-Head
se Sweden,1,0,1,0,2,2,0,1.00,Head-to-Head
at Austria,1,0,1,0,1,1,0,1.00,Head-to-Head
ie Republic of Ireland,1,0,1,0,1,1,0,1.00,Head-to-Head
au Australia,1,0,1,0,1,1,0,1.00,Head-to-Head
pl Poland,1,0,1,0,0,0,0,1.00,Head-to-Head
uz Uzbekistan,1,0,0,1,0,2,-2,0.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
py Paraguay,1,0,0,1,1,2,-1,0.00,Head-to-Head
hr Croatia,1,0,0,1,0,4,-4,0.00,Head-to-Head
nl Netherlands,1,0,0,1,1,2,-1,0.00,Head-to-Head
pt Portugal,1,0,0,1,1,5,-4,0.00,Head-to-Head
dk Denmark,1,0,0,1,1,2,-1,0.00,Head-to-Head
su Soviet Union,1,0,0,1,0,4,-4,0.00,Head-to-Head
ru Russia,1,0,0,1,1,6,-5,0.00,Head-to-Head
eng England,1,0,0,1,2,3,-1,0.00,Head-to-Head
mx Mexico,1,0,0,1,0,1,-1,0.00,Head-to-Head
