Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
eng England,9,3,1,5,12,19,-7,1.11,Head-to-Head
mt Malta,8,7,1,0,23,3,+20,2.75,Head-to-Head
is Iceland,7,5,1,1,13,3,+10,2.29,Head-to-Head
tr Turkey,7,2,4,1,9,6,+3,1.43,Head-to-Head
fr France,7,1,2,4,10,15,-5,0.71,Head-to-Head
ua Ukraine,6,3,3,0,8,3,+5,2.00,Head-to-Head
ru Russia,6,2,4,0,6,3,+3,1.67,Head-to-Head
gr Greece,6,2,3,1,6,4,+2,1.50,Head-to-Head
il Israel,5,5,0,0,12,5,+7,3.00,Head-to-Head
bg Bulgaria,5,4,1,0,11,4,+7,2.60,Head-to-Head
dk Denmark,5,2,2,1,6,6,0,1.60,Head-to-Head
si Slovenia,5,2,2,1,10,6,+4,1.60,Head-to-Head
hu Hungary,5,2,2,1,8,3,+5,1.60,Head-to-Head
es Spain,5,2,0,3,8,15,-7,1.20,Head-to-Head
be Belgium,5,1,2,2,3,4,-1,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
sct Scotland,5,1,2,2,4,5,-1,1.00,Head-to-Head
ad Andorra,4,4,0,0,19,0,+19,3.00,Head-to-Head
lv Latvia,4,4,0,0,10,1,+9,3.00,Head-to-Head
wls Wales,4,3,1,0,7,3,+4,2.50,Head-to-Head
sk Slovakia,4,3,1,0,10,3,+7,2.50,Head-to-Head
se Sweden,4,3,0,1,5,3,+2,2.25,Head-to-Head
mk North Macedonia,4,3,0,1,5,4,+1,2.25,Head-to-Head
az Azerbaijan,4,2,2,0,9,2,+7,2.00,Head-to-Head
mx Mexico,4,2,0,2,4,5,-1,1.50,Head-to-Head
it Italy,4,1,3,0,5,4,+1,1.50,Head-to-Head
pt Portugal,4,0,1,3,4,9,-5,0.25,Head-to-Head
cy Cyprus,3,3,0,0,6,0,+6,3.00,Head-to-Head
sm San Marino,3,3,0,0,18,0,+18,3.00,Head-to-Head
ee Estonia,3,2,0,1,3,3,0,2.00,Head-to-Head
at Austria,3,2,0,1,4,4,0,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ge Georgia,3,2,0,1,4,3,+1,2.00,Head-to-Head
ch Switzerland,3,1,2,0,4,3,+1,1.67,Head-to-Head
ar Argentina,3,1,0,2,4,3,+1,1.00,Head-to-Head
br Brazil,3,0,0,3,1,6,-5,0.00,Head-to-Head
kz Kazakhstan,2,2,0,0,5,1,+4,3.00,Head-to-Head
xk Kosovo,2,2,0,0,7,0,+7,3.00,Head-to-Head
ba Bosnia and Herzegovina,2,2,0,0,7,3,+4,3.00,Head-to-Head
by Belarus,2,2,0,0,4,1,+3,3.00,Head-to-Head
de Germany,2,2,0,0,5,1,+4,3.00,Head-to-Head
au Australia,2,1,1,0,3,2,+1,2.00,Head-to-Head
fi Finland,2,1,1,0,2,1,+1,2.00,Head-to-Head
jp Japan,2,1,1,0,1,0,+1,2.00,Head-to-Head
rs Serbia,2,1,1,0,3,1,+2,2.00,Head-to-Head
no Norway,2,1,0,1,5,3,+2,1.50,Head-to-Head
cz Czech Republic,2,0,2,0,3,3,0,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
jo Jordan,1,1,0,0,2,1,+1,3.00,Head-to-Head
ng Nigeria,1,1,0,0,2,0,+2,3.00,Head-to-Head
nir Northern Ireland,1,1,0,0,3,0,+3,3.00,Head-to-Head
jm Jamaica,1,1,0,0,3,1,+2,3.00,Head-to-Head
md Moldova,1,1,0,0,1,0,+1,3.00,Head-to-Head
ml Mali,1,1,0,0,2,1,+1,3.00,Head-to-Head
gi Gibraltar,1,1,0,0,4,0,+4,3.00,Head-to-Head
nl Netherlands,1,1,0,0,2,1,+1,3.00,Head-to-Head
ie Republic of Ireland,1,1,0,0,3,1,+2,3.00,Head-to-Head
ro Romania,1,1,0,0,1,0,+1,3.00,Head-to-Head
pl Poland,1,1,0,0,1,0,+1,3.00,Head-to-Head
cm Cameroon,1,1,0,0,4,0,+4,3.00,Head-to-Head
sn Senegal,1,1,0,0,2,1,+1,3.00,Head-to-Head
am Armenia,1,0,1,0,1,1,0,1.00,Head-to-Head
pe Peru,1,0,0,1,0,2,-2,0.00,Head-to-Head
ec Ecuador,1,0,0,1,0,1,-1,0.00,Head-to-Head
tn Tunisia,1,0,0,1,1,2,-1,0.00,Head-to-Head
