Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
se Sweden,10,4,4,2,10,9,+1,1.60,Head-to-Head
is Iceland,9,9,0,0,23,3,+20,3.00,Head-to-Head
cz Czech Republic,8,3,3,2,8,8,0,1.50,Head-to-Head
fr France,8,3,1,4,8,10,-2,1.25,Head-to-Head
pt Portugal,7,2,1,4,9,12,-3,1.00,Head-to-Head
mt Malta,6,6,0,0,21,2,+19,3.00,Head-to-Head
am Armenia,6,4,1,1,8,6,+2,2.17,Head-to-Head
al Albania,6,3,3,0,10,3,+7,2.00,Head-to-Head
ie Republic of Ireland,6,1,5,0,7,3,+4,1.33,Head-to-Head
at Austria,5,5,0,0,11,1,+10,3.00,Head-to-Head
bg Bulgaria,5,2,3,0,7,3,+4,1.80,Head-to-Head
hr Croatia,5,1,2,2,6,6,0,1.00,Head-to-Head
eng England,5,1,1,3,2,6,-4,0.80,Head-to-Head
kz Kazakhstan,4,4,0,0,12,3,+9,3.00,Head-to-Head
ge Georgia,4,2,2,0,13,4,+9,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
gr Greece,4,2,1,1,4,3,+1,1.75,Head-to-Head
sct Scotland,4,2,0,2,3,3,0,1.25,Head-to-Head
de Germany,4,1,2,1,5,4,+1,1.00,Head-to-Head
nl Netherlands,4,1,0,3,3,9,-6,0.75,Head-to-Head
nir Northern Ireland,4,0,3,1,3,4,-1,0.75,Head-to-Head
li Liechtenstein,3,3,0,0,13,0,+13,3.00,Head-to-Head
fo Faroe Islands,3,3,0,0,8,1,+7,3.00,Head-to-Head
wls Wales,3,3,0,0,8,1,+7,3.00,Head-to-Head
rs Serbia,3,3,0,0,8,1,+7,3.00,Head-to-Head
me Montenegro,3,2,0,1,3,2,+1,2.00,Head-to-Head
ba Bosnia and Herzegovina,3,2,0,1,4,3,+1,2.00,Head-to-Head
it Italy,3,0,2,1,3,5,-2,0.67,Head-to-Head
tr Turkey,3,0,2,1,4,5,-1,0.67,Head-to-Head
hu Hungary,3,0,2,1,2,3,-1,0.67,Head-to-Head
ro Romania,3,0,2,1,1,3,-2,0.67,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
es Spain,3,0,0,3,3,10,-7,0.00,Head-to-Head
be Belgium,3,0,0,3,3,8,-5,0.00,Head-to-Head
si Slovenia,2,2,0,0,6,0,+6,3.00,Head-to-Head
cy Cyprus,2,2,0,0,6,1,+5,3.00,Head-to-Head
il Israel,2,2,0,0,7,0,+7,3.00,Head-to-Head
gi Gibraltar,2,2,0,0,12,0,+12,3.00,Head-to-Head
md Moldova,2,2,0,0,12,0,+12,3.00,Head-to-Head
lv Latvia,2,2,0,0,5,1,+4,3.00,Head-to-Head
uy Uruguay,2,2,0,0,8,2,+6,2.50,Head-to-Head
ch Switzerland,2,1,1,0,4,3,+1,2.00,Head-to-Head
no Norway,2,1,1,0,3,1,+2,2.00,Head-to-Head
pl Poland,2,1,0,1,6,3,+3,1.50,Head-to-Head
ua Ukraine,2,0,1,1,1,2,-1,0.50,Head-to-Head
us United States,1,1,0,0,3,2,+1,3.00,Head-to-Head
pe Peru,1,1,0,0,1,0,+1,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
mx Mexico,1,1,0,0,2,0,+2,3.00,Head-to-Head
cm Cameroon,1,1,0,0,2,1,+1,3.00,Head-to-Head
sa Saudi Arabia,1,1,0,0,1,0,+1,3.00,Head-to-Head
pa Panama,1,1,0,0,1,0,+1,3.00,Head-to-Head
lu Luxembourg,1,1,0,0,4,0,+4,3.00,Head-to-Head
ru Russia,1,1,0,0,4,1,+3,3.00,Head-to-Head
ng Nigeria,1,1,0,0,4,1,+3,3.00,Head-to-Head
xk Kosovo,1,0,1,0,2,2,0,1.00,Head-to-Head
sn Senegal,1,0,1,0,1,1,0,1.00,Head-to-Head
cl Chile,1,0,1,0,0,0,0,1.00,Head-to-Head
au Australia,1,0,1,0,1,1,0,1.00,Head-to-Head
za South Africa,1,0,1,0,1,1,0,1.00,Head-to-Head
sk Slovakia,1,0,0,1,0,3,-3,0.00,Head-to-Head
br Brazil,1,0,0,1,2,3,-1,0.00,Head-to-Head
fi Finland,1,0,0,1,0,1,-1,0.00,Head-to-Head
jp Japan,1,0,0,1,1,3,-2,0.00,Head-to-Head
