Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
it Italy,11,5,3,3,16,12,+4,1.55,Head-to-Head
de Germany,10,5,3,2,18,12,+6,1.70,Head-to-Head
pt Portugal,8,5,2,1,9,5,+4,2.13,Head-to-Head
nl Netherlands,8,5,0,3,15,12,+3,1.88,Head-to-Head
ua Ukraine,8,4,3,1,18,7,+11,1.88,Head-to-Head
dk Denmark,8,4,1,3,10,8,+2,1.63,Head-to-Head
es Spain,8,4,1,3,9,9,0,1.63,Head-to-Head
al Albania,7,5,1,1,14,4,+10,2.29,Head-to-Head
hr Croatia,7,4,2,1,15,10,+5,2.00,Head-to-Head
ch Switzerland,7,2,5,0,12,7,+5,1.57,Head-to-Head
fo Faroe Islands,6,6,0,0,22,0,+22,3.00,Head-to-Head
ie Republic of Ireland,6,4,2,0,7,2,+5,2.33,Head-to-Head
se Sweden,6,4,0,2,9,7,+2,2.00,Head-to-Head
by Belarus,6,3,2,1,10,6,+4,1.83,Head-to-Head
br Brazil,6,3,1,2,10,10,0,1.67,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ro Romania,6,2,4,0,7,4,+3,1.67,Head-to-Head
at Austria,6,3,1,2,10,8,+2,1.50,Head-to-Head
eng England,6,2,1,3,7,11,-4,1.17,Head-to-Head
fi Finland,5,4,0,1,8,2,+6,2.40,Head-to-Head
be Belgium,5,4,0,1,14,9,+5,2.00,Head-to-Head
mx Mexico,5,3,1,1,12,6,+6,1.60,Head-to-Head
uy Uruguay,5,2,2,1,4,2,+2,1.60,Head-to-Head
lt Lithuania,4,4,0,0,5,0,+5,3.00,Head-to-Head
lu Luxembourg,4,3,1,0,7,1,+6,2.50,Head-to-Head
ge Georgia,4,3,1,0,7,1,+6,2.50,Head-to-Head
is Iceland,4,3,1,0,12,4,+8,2.50,Head-to-Head
py Paraguay,4,3,1,0,14,4,+10,2.25,Head-to-Head
rs Serbia,4,2,2,0,6,4,+2,2.00,Head-to-Head
ba Bosnia and Herzegovina,4,2,2,0,5,2,+3,2.00,Head-to-Head
sct Scotland,4,2,0,2,5,3,+2,1.25,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
bg Bulgaria,3,3,0,0,8,1,+7,3.00,Head-to-Head
za South Africa,3,2,0,1,9,2,+7,2.00,Head-to-Head
hu Hungary,3,2,1,0,7,2,+5,1.67,Head-to-Head
tr Turkey,3,1,1,1,4,5,-1,1.33,Head-to-Head
ar Argentina,3,1,0,2,5,6,-1,1.00,Head-to-Head
cy Cyprus,2,2,0,0,6,0,+6,3.00,Head-to-Head
jp Japan,2,2,0,0,3,1,+2,3.00,Head-to-Head
kz Kazakhstan,2,2,0,0,10,0,+10,3.00,Head-to-Head
ru Russia,2,2,0,0,7,3,+4,3.00,Head-to-Head
ad Andorra,2,2,0,0,7,0,+7,3.00,Head-to-Head
wls Wales,2,2,0,0,5,0,+5,3.00,Head-to-Head
md Moldova,2,2,0,0,6,2,+4,3.00,Head-to-Head
am Armenia,2,2,0,0,7,0,+7,3.00,Head-to-Head
cm Cameroon,2,2,0,0,4,2,+2,3.00,Head-to-Head
nir Northern Ireland,2,2,0,0,8,1,+7,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ci Côte d'Ivoire,2,1,1,0,2,1,+1,2.00,Head-to-Head
kr Korea Republic,2,1,1,0,6,1,+5,2.00,Head-to-Head
co Colombia,2,1,0,1,3,3,0,1.50,Head-to-Head
au Australia,2,1,0,1,2,2,0,1.50,Head-to-Head
il Israel,2,0,2,0,1,1,0,1.00,Head-to-Head
yu Yugoslavia,2,0,0,2,2,4,-2,0.00,Head-to-Head
sa Saudi Arabia,1,1,0,0,4,0,+4,3.00,Head-to-Head
no Norway,1,1,0,0,4,0,+4,3.00,Head-to-Head
pe Peru,1,1,0,0,1,0,+1,3.00,Head-to-Head
ng Nigeria,1,1,0,0,2,0,+2,3.00,Head-to-Head
jm Jamaica,1,1,0,0,8,0,+8,3.00,Head-to-Head
bo Bolivia,1,1,0,0,2,0,+2,3.00,Head-to-Head
tg Togo,1,1,0,0,2,0,+2,3.00,Head-to-Head
nz New Zealand,1,1,0,0,5,0,+5,3.00,Head-to-Head
cz Czech Republic,1,1,0,0,2,1,+1,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
hn Honduras,1,1,0,0,3,0,+3,3.00,Head-to-Head
kw Kuwait,1,1,0,0,4,1,+3,2.00,Head-to-Head
ca Canada,1,1,0,0,1,0,+1,2.00,Head-to-Head
ec Ecuador,1,0,1,0,0,0,0,1.00,Head-to-Head
su Soviet Union,1,0,1,0,1,1,0,1.00,Head-to-Head
us United States,1,0,1,0,1,1,0,1.00,Head-to-Head
cs Czechoslovakia,1,0,1,0,1,1,0,1.00,Head-to-Head
cl Chile,1,0,0,1,0,1,-1,0.00,Head-to-Head
gr Greece,1,0,0,1,0,1,-1,0.00,Head-to-Head
pl Poland,1,0,0,1,2,3,-1,0.00,Head-to-Head
sn Senegal,1,0,0,1,0,1,-1,0.00,Head-to-Head
