Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Germany,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Germany,1. FIFA World Cup,GR,3,1,0,2,2,4,-2,3,"Marco Reus, Toni Kroos - 1",Manuel Neuer,
2014,Germany,1. FIFA World Cup,1st,7,6,1,0,18,4,14,19,Thomas Müller - 5,Manuel Neuer,
2010,Germany,1. FIFA World Cup,3rd,7,5,0,2,16,5,11,15,Thomas Müller - 5,Manuel Neuer,
2006,Germany,1. FIFA World Cup,3rd,7,5,1,1,14,6,8,16,Miroslav Klose - 5,Jens Lehmann,
2002,Germany,1. FIFA World Cup,2nd,7,5,1,1,14,3,11,16,Miroslav Klose - 5,Oliver Kahn,
1998,Germany,1. FIFA World Cup,QF,5,3,1,1,8,6,2,10,"Oliver Bierhoff, Jürgen Klinsmann - 3",Andreas Köpke,
1994,Germany,1. FIFA World Cup,QF,5,3,1,1,9,7,2,10,Jürgen Klinsmann - 5,Bodo Illgner,
1990,West Germany,1. FIFA World Cup,1st,7,5,2,0,15,5,10,12,Lothar Matthäus - 4,Bodo Illgner,
1986,West Germany,1. FIFA World Cup,2nd,7,3,2,2,8,7,1,8,Rudi Völler - 3,Harald Schumacher,
1982,West Germany,1. FIFA World Cup,2nd,7,3,2,2,12,10,2,8,Karl-Heinz Rummenigge - 5,Harald Schumacher,
1978,West Germany,1. FIFA World Cup,2R,6,1,4,1,10,5,5,6,Karl-Heinz Rummenigge - 3,Sepp Maier,
1974,West Germany,1. FIFA World Cup,1st,7,6,0,1,13,4,9,12,Gerd Müller - 4,Sepp Maier,
1970,West Germany,1. FIFA World Cup,3rd,6,5,0,1,17,10,7,10,Gerd Müller - 10,Sepp Maier,
1966,West Germany,1. FIFA World Cup,2nd,6,4,1,1,15,6,9,9,Helmut Haller - 6,Hans Tilkowski,
1962,West Germany,1. FIFA World Cup,QF,4,2,1,1,4,2,2,5,Uwe Seeler - 2,Wolfgang Fahrian,
1958,West Germany,1. FIFA World Cup,4th,6,2,2,2,12,14,-2,6,Helmut Rahn - 6,Fritz Herkenrath,
1954,Germany,1. FIFA World Cup,1st,6,5,0,1,25,14,11,10,Max Morlock - 6,Toni Turek,
1938,Germany,1. FIFA World Cup,R16,2,0,1,1,3,5,-2,1,"Josef Gauchel, Wilhelm Hahnemann - 1",Rudolf Raftl,
1934,Germany,1. FIFA World Cup,3rd,4,3,0,1,11,8,3,6,Edmund Conen - 4,Willibald Kreß,
