Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ml Mali,9,4,2,3,10,11,-1,1.56,Head-to-Head
sd Sudan,8,6,0,2,14,3,+11,2.25,Head-to-Head
za South Africa,8,5,2,1,12,4,+8,2.13,Head-to-Head
ug Uganda,7,2,4,1,5,3,+2,1.43,Head-to-Head
eg Egypt,6,1,1,4,8,8,0,0.67,Head-to-Head
bf Burkina Faso,5,2,1,2,4,4,0,1.40,Head-to-Head
ng Nigeria,5,1,3,1,2,4,-2,1.20,Head-to-Head
ls Lesotho,4,4,0,0,15,2,+13,3.00,Head-to-Head
et Ethiopia,4,3,1,0,9,1,+8,2.50,Head-to-Head
gn Guinea,4,2,2,0,8,3,+5,2.00,Head-to-Head
cd Congo DR,4,1,3,0,5,4,+1,1.50,Head-to-Head
us United States,4,2,0,2,6,6,0,1.50,Head-to-Head
cv Cape Verde,3,3,0,0,8,0,+8,3.00,Head-to-Head
tg Togo,3,3,0,0,7,3,+4,3.00,Head-to-Head
cg Congo,3,2,1,0,9,4,+5,2.33,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
bj Benin,3,1,1,1,3,3,0,1.33,Head-to-Head
ga Gabon,3,1,1,1,3,3,0,1.33,Head-to-Head
km Comoros,3,1,1,1,4,3,+1,1.33,Head-to-Head
zm Zambia,3,1,0,2,2,3,-1,1.00,Head-to-Head
ci Côte d'Ivoire,3,0,2,1,1,3,-2,0.67,Head-to-Head
st São Tomé and Príncipe,2,2,0,0,4,1,+3,3.00,Head-to-Head
so Somalia,2,2,0,0,7,0,+7,3.00,Head-to-Head
zw Zimbabwe,2,2,0,0,4,1,+3,3.00,Head-to-Head
mu Mauritius,2,2,0,0,9,1,+8,3.00,Head-to-Head
tz Tanzania,2,2,0,0,4,2,+2,3.00,Head-to-Head
sl Sierra Leone,2,1,1,0,6,1,+5,2.00,Head-to-Head
rw Rwanda,2,1,1,0,2,1,+1,2.00,Head-to-Head
tn Tunisia,2,1,1,0,3,2,+1,2.00,Head-to-Head
mz Mozambique,2,1,1,0,3,1,+2,2.00,Head-to-Head
ly Libya,2,1,0,1,3,1,+2,1.50,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
dz Algeria,2,1,0,1,1,3,-2,1.50,Head-to-Head
ke Kenya,2,1,0,1,1,1,0,1.50,Head-to-Head
lr Liberia,2,1,0,1,3,4,-1,1.50,Head-to-Head
cm Cameroon,2,0,1,1,0,2,-2,0.50,Head-to-Head
de Germany,2,0,1,1,2,3,-1,0.50,Head-to-Head
br Brazil,2,0,0,2,0,6,-6,0.00,Head-to-Head
sn Senegal,2,0,0,2,2,4,-2,0.00,Head-to-Head
ma Morocco,2,0,0,2,0,2,-2,0.00,Head-to-Head
bw Botswana,1,1,0,0,1,0,+1,3.00,Head-to-Head
rs Serbia,1,1,0,0,1,0,+1,3.00,Head-to-Head
jp Japan,1,1,0,0,2,0,+2,3.00,Head-to-Head
mg Madagascar,1,1,0,0,3,0,+3,3.00,Head-to-Head
ao Angola,1,1,0,0,1,0,+1,3.00,Head-to-Head
mr Mauritania,1,1,0,0,3,1,+2,3.00,Head-to-Head
cz Czech Republic,1,1,0,0,2,0,+2,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ne Niger,1,1,0,0,3,0,+3,3.00,Head-to-Head
gw Guinea-Bissau,1,1,0,0,2,0,+2,3.00,Head-to-Head
na Namibia,1,1,0,0,1,0,+1,3.00,Head-to-Head
gq Equatorial Guinea,1,1,0,0,3,0,+3,3.00,Head-to-Head
kr Korea Republic,1,1,0,0,4,0,+4,3.00,Head-to-Head
qa Qatar,1,1,0,0,5,1,+4,3.00,Head-to-Head
uy Uruguay,1,0,1,0,1,1,0,1.00,Head-to-Head
cf Central African Republic,1,0,1,0,1,1,0,1.00,Head-to-Head
au Australia,1,0,1,0,1,1,0,1.00,Head-to-Head
is Iceland,1,0,1,0,2,2,0,1.00,Head-to-Head
ca Canada,1,0,1,0,1,1,0,1.00,Head-to-Head
me Montenegro,1,0,0,1,0,1,-1,0.00,Head-to-Head
it Italy,1,0,0,1,0,2,-2,0.00,Head-to-Head
ru Russia,1,0,0,1,0,1,-1,0.00,Head-to-Head
mx Mexico,1,0,0,1,0,1,-1,0.00,Head-to-Head
nl Netherlands,1,0,0,1,0,1,-1,0.00,Head-to-Head
pt Portugal,1,0,0,1,1,2,-1,0.00,Head-to-Head
