Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Korea Republic,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Korea Republic,1. FIFA World Cup,GR,3,1,0,2,3,3,0,3,Son Heung-min - 2,Cho Hyun-woo,
2014,Korea Republic,1. FIFA World Cup,GR,3,0,1,2,3,6,-3,1,"Son Heung-min, Koo Ja-cheol... - 1",Jung Sung-ryong,
2010,Korea Republic,1. FIFA World Cup,R16,4,1,1,2,6,8,-2,4,"Lee Chung-yong, Lee Jung-soo - 2",Jung Sung-ryong,
2006,Korea Republic,1. FIFA World Cup,GR,3,1,1,1,3,4,-1,4,"Park Ji-sung, Ahn Jung-hwan... - 1",Lee Woon-jae,
2002,Korea Republic,1. FIFA World Cup,4th,7,3,2,2,8,6,2,11,Ahn Jung-hwan - 2,Lee Woon-jae,
1998,Korea Republic,1. FIFA World Cup,GR,3,0,1,2,2,9,-7,1,"Yoo Sang-chul, Ha Seok-ju - 1",Kim Byung-ji,
1994,Korea Republic,1. FIFA World Cup,GR,3,0,2,1,4,5,-1,2,Hong Myung-bo - 2,Choi In-young,
1990,Korea Republic,1. FIFA World Cup,GR,3,0,0,3,1,6,-5,0,Hwangbo Kwan - 1,Choi In-young,
1986,Korea Republic,1. FIFA World Cup,GR,3,0,1,2,4,7,-3,1,"Kim Jong-boo, Park Chang-sun... - 1",Oh Yun-kyo,
1954,Korea Republic,1. FIFA World Cup,GR,2,0,0,2,0,16,-16,0,,Hong Deok-young,
