Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Mexico,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Mexico,1. FIFA World Cup,R16,4,2,0,2,3,6,-3,6,"Carlos Vela, Javier Hernández... - 1",Guillermo Ochoa,
2014,Mexico,1. FIFA World Cup,R16,4,2,1,1,5,3,2,7,"Giovani dos Santos, Javier Hernández... - 1",Guillermo Ochoa,
2010,Mexico,1. FIFA World Cup,R16,4,1,1,2,4,5,-1,4,Javier Hernández - 2,Óscar Pérez Rojas,
2006,Mexico,1. FIFA World Cup,R16,4,1,1,2,5,5,0,4,Omar Bravo - 2,Oswaldo Sánchez,
2002,Mexico,1. FIFA World Cup,R16,4,2,1,1,4,4,0,7,Jared Borgetti - 2,Óscar Pérez Rojas,
1998,Mexico,1. FIFA World Cup,R16,4,1,2,1,8,7,1,5,Luis Hernández - 3,Jorge Campos,
1994,Mexico,1. FIFA World Cup,R16,4,1,2,1,4,4,0,5,Luis García Postigo - 2,Jorge Campos,
1986,Mexico,1. FIFA World Cup,QF,5,3,2,0,6,2,4,8,Fernando Quirarte - 2,Pablo Larios,
1978,Mexico,1. FIFA World Cup,1R,3,0,0,3,2,12,-10,0,"Arturo Vázquez Ayala, Víctor Rangel - 1",Pedro Soto,
1970,Mexico,1. FIFA World Cup,QF,4,2,1,1,6,4,2,5,Javier Valdivia - 2,Ignacio Calderón,
1966,Mexico,1. FIFA World Cup,GR,3,0,2,1,1,3,-2,2,Enrique Borja - 1,Ignacio Calderón,
1962,Mexico,1. FIFA World Cup,GR,3,1,0,2,3,4,-1,2,"Isidoro Díaz, Alfredo del Águila... - 1",Antonio Carbajal,
1958,Mexico,1. FIFA World Cup,GR,3,0,1,2,1,8,-7,1,Jaime Belmonte - 1,Antonio Carbajal,
1954,Mexico,1. FIFA World Cup,GR,2,0,0,2,2,8,-6,0,"Tomás Balcázar, José Luis Lamadrid - 1","Antonio Carbajal, Salvador Mota",
1950,Mexico,1. FIFA World Cup,GR,3,0,0,3,2,10,-8,0,"Héctor Ortiz, Horacio Casarín - 1",Antonio Carbajal,
1930,Mexico,1. FIFA World Cup,GR,3,0,0,3,4,13,-9,0,Manuel Rosas - 2,Oscar Bonfiglio,
