Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
de Germany,10,2,4,4,18,17,+1,1.00,Head-to-Head
ro Romania,8,6,1,1,17,2,+15,2.38,Head-to-Head
be Belgium,8,4,3,1,13,5,+8,1.88,Head-to-Head
tr Turkey,8,3,2,3,13,10,+3,1.38,Head-to-Head
fr France,8,3,0,5,12,15,-3,1.13,Head-to-Head
it Italy,8,2,3,3,8,8,0,1.00,Head-to-Head
cz Czech Republic,7,3,0,4,10,10,0,1.29,Head-to-Head
pt Portugal,7,1,1,5,7,10,-3,0.57,Head-to-Head
wls Wales,6,6,0,0,20,7,+13,3.00,Head-to-Head
ad Andorra,6,6,0,0,21,0,+21,3.00,Head-to-Head
ee Estonia,6,5,1,0,23,4,+19,2.67,Head-to-Head
by Belarus,6,5,0,1,17,5,+12,2.50,Head-to-Head
se Sweden,6,2,3,1,9,5,+4,1.50,Head-to-Head
lv Latvia,5,5,0,0,14,0,+14,3.00,Head-to-Head
pl Poland,5,4,1,0,9,4,+5,2.60,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
mk North Macedonia,5,3,2,0,11,3,+8,2.20,Head-to-Head
sct Scotland,5,3,1,1,9,5,+4,2.00,Head-to-Head
br Brazil,5,3,1,1,10,5,+5,1.80,Head-to-Head
bg Bulgaria,5,3,1,1,10,5,+5,1.80,Head-to-Head
ar Argentina,5,2,2,1,7,4,+3,1.40,Head-to-Head
ie Republic of Ireland,5,1,3,1,6,5,+1,1.20,Head-to-Head
lu Luxembourg,4,4,0,0,10,1,+9,3.00,Head-to-Head
hu Hungary,4,4,0,0,21,5,+16,3.00,Head-to-Head
fi Finland,4,4,0,0,11,2,+9,3.00,Head-to-Head
sm San Marino,4,4,0,0,26,0,+26,3.00,Head-to-Head
no Norway,4,3,1,0,6,1,+5,2.50,Head-to-Head
dk Denmark,4,3,0,1,9,3,+6,2.25,Head-to-Head
es Spain,4,2,1,1,8,3,+5,1.75,Head-to-Head
eng England,4,2,1,1,5,3,+2,1.75,Head-to-Head
is Iceland,4,2,0,2,4,4,0,1.50,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
mx Mexico,4,1,1,2,6,7,-1,1.00,Head-to-Head
rs Serbia,3,3,0,0,9,2,+7,3.00,Head-to-Head
at Austria,3,3,0,0,9,1,+8,2.67,Head-to-Head
si Slovenia,2,2,0,0,3,0,+3,3.00,Head-to-Head
al Albania,2,2,0,0,3,1,+2,3.00,Head-to-Head
am Armenia,2,2,0,0,3,0,+3,3.00,Head-to-Head
gi Gibraltar,2,2,0,0,13,0,+13,3.00,Head-to-Head
kz Kazakhstan,2,2,0,0,5,2,+3,3.00,Head-to-Head
ma Morocco,2,2,0,0,4,2,+2,3.00,Head-to-Head
ci Côte d'Ivoire,2,2,0,0,7,1,+6,3.00,Head-to-Head
cy Cyprus,2,2,0,0,8,0,+8,3.00,Head-to-Head
md Moldova,2,2,0,0,2,0,+2,3.00,Head-to-Head
uy Uruguay,2,2,0,0,5,2,+3,2.50,Head-to-Head
sk Slovakia,2,1,1,0,3,2,+1,2.00,Head-to-Head
me Montenegro,2,1,1,0,6,2,+4,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ba Bosnia and Herzegovina,2,1,1,0,3,1,+2,2.00,Head-to-Head
pe Peru,2,1,1,0,2,1,+1,2.00,Head-to-Head
nir Northern Ireland,2,1,1,0,3,1,+2,2.00,Head-to-Head
au Australia,1,1,0,0,3,2,+1,3.00,Head-to-Head
cl Chile,1,1,0,0,2,0,+2,3.00,Head-to-Head
jp Japan,1,1,0,0,1,0,+1,3.00,Head-to-Head
ua Ukraine,1,1,0,0,3,2,+1,3.00,Head-to-Head
gh Ghana,1,1,0,0,1,0,+1,3.00,Head-to-Head
cm Cameroon,1,1,0,0,2,1,+1,3.00,Head-to-Head
ge Georgia,1,1,0,0,3,0,+3,3.00,Head-to-Head
sa Saudi Arabia,1,1,0,0,2,1,+1,3.00,Head-to-Head
kr Korea Republic,1,1,0,0,5,0,+5,3.00,Head-to-Head
ir IR Iran,1,1,0,0,3,0,+3,2.00,Head-to-Head
eg Egypt,1,0,1,0,1,1,0,1.00,Head-to-Head
cr Costa Rica,1,0,1,0,0,0,0,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ec Ecuador,1,0,1,0,1,1,0,1.00,Head-to-Head
cs Czechoslovakia,1,0,0,1,0,3,-3,0.00,Head-to-Head
gr Greece,1,0,0,1,1,2,-1,0.00,Head-to-Head
ch Switzerland,1,0,0,1,2,3,-1,0.00,Head-to-Head
hr Croatia,1,0,0,1,1,2,-1,0.00,Head-to-Head
ru Russia,1,0,0,1,1,3,-2,0.00,Head-to-Head
us United States,1,0,0,1,3,4,-1,0.00,Head-to-Head
