Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Netherlands,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2014,Netherlands,1. FIFA World Cup,3rd,7,5,2,0,15,4,11,17,Robin van Persie - 4,Jasper Cillessen,
2010,Netherlands,1. FIFA World Cup,2nd,7,6,0,1,12,6,6,18,Wesley Sneijder - 5,Maarten Stekelenburg,
2006,Netherlands,1. FIFA World Cup,R16,4,2,1,1,3,2,1,7,"Arjen Robben, Ruud van Nistelrooy... - 1",Edwin van der Sar,
1998,Netherlands,1. FIFA World Cup,4th,7,3,3,1,13,7,6,12,Dennis Bergkamp - 3,Edwin van der Sar,
1994,Netherlands,1. FIFA World Cup,QF,5,3,0,2,8,6,2,9,Dennis Bergkamp - 3,Ed de Goey,
1990,Netherlands,1. FIFA World Cup,R16,4,0,3,1,3,4,-1,3,"Wim Kieft, Ruud Gullit... - 1",Hans van Breukelen,
1978,Netherlands,1. FIFA World Cup,2nd,7,3,2,2,15,10,5,8,Rob Rensenbrink - 5,Jan Jongbloed,
1974,Netherlands,1. FIFA World Cup,2nd,7,5,1,1,15,3,12,11,Johan Neeskens - 5,Jan Jongbloed,
1938,Netherlands,1. FIFA World Cup,R16,1,0,0,1,0,3,-3,0,,Adri van Male,
1934,Netherlands,1. FIFA World Cup,R16,1,0,0,1,2,3,-1,0,"Kick Smit, Leen Vente - 1",Gejus van der Meulen,
