Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
it Italy,9,1,4,4,3,10,-7,0.67,Head-to-Head
eng England,9,0,2,7,6,17,-11,0.22,Head-to-Head
de Germany,8,1,3,4,3,7,-4,0.75,Head-to-Head
pt Portugal,7,2,3,2,9,12,-3,1.14,Head-to-Head
sm San Marino,6,6,0,0,34,2,+32,3.00,Head-to-Head
wls Wales,6,5,1,0,9,4,+5,2.67,Head-to-Head
am Armenia,6,4,1,1,14,4,+10,2.17,Head-to-Head
ua Ukraine,6,3,1,2,8,6,+2,1.67,Head-to-Head
md Moldova,5,4,1,0,9,2,+7,2.60,Head-to-Head
at Austria,5,3,2,0,8,4,+4,2.20,Head-to-Head
nir Northern Ireland,5,3,1,1,8,4,+4,2.00,Head-to-Head
be Belgium,5,3,0,2,7,7,0,1.60,Head-to-Head
cz Czech Republic,5,2,0,3,5,6,-1,1.20,Head-to-Head
si Slovenia,5,1,2,2,5,9,-4,1.00,Head-to-Head
nl Netherlands,5,0,1,4,4,9,-5,0.20,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
az Azerbaijan,4,4,0,0,19,1,+18,3.00,Head-to-Head
kz Kazakhstan,4,3,1,0,9,3,+6,2.50,Head-to-Head
ge Georgia,4,3,0,1,12,4,+8,2.25,Head-to-Head
me Montenegro,4,2,2,0,9,6,+3,2.00,Head-to-Head
fi Finland,4,2,1,1,11,4,+7,1.75,Head-to-Head
sct Scotland,4,0,3,1,5,6,-1,0.75,Head-to-Head
br Brazil,4,1,0,3,7,13,-6,0.50,Head-to-Head
no Norway,3,3,0,0,9,2,+7,3.00,Head-to-Head
lt Lithuania,3,2,1,0,6,1,+5,2.33,Head-to-Head
se Sweden,3,2,0,1,5,3,+2,1.67,Head-to-Head
rs Serbia,3,1,2,0,4,3,+1,1.67,Head-to-Head
ie Republic of Ireland,3,1,2,0,4,3,+1,1.67,Head-to-Head
sk Slovakia,3,0,0,3,2,5,-3,0.00,Head-to-Head
al Albania,2,2,0,0,5,1,+4,3.00,Head-to-Head
il Israel,2,2,0,0,6,1,+5,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
gi Gibraltar,2,2,0,0,15,1,+14,3.00,Head-to-Head
ad Andorra,2,2,0,0,7,1,+6,3.00,Head-to-Head
mk North Macedonia,2,2,0,0,3,0,+3,3.00,Head-to-Head
ro Romania,2,2,0,0,6,1,+5,3.00,Head-to-Head
ba Bosnia and Herzegovina,2,2,0,0,5,1,+4,3.00,Head-to-Head
lv Latvia,2,2,0,0,5,0,+5,3.00,Head-to-Head
is Iceland,2,1,1,0,6,4,+2,2.00,Head-to-Head
pe Peru,2,2,0,0,6,1,+5,2.00,Head-to-Head
by Belarus,2,1,0,1,4,5,-1,1.50,Head-to-Head
kr Korea Republic,2,1,0,1,3,4,-1,1.50,Head-to-Head
dk Denmark,2,1,0,1,3,6,-3,1.50,Head-to-Head
gr Greece,2,0,2,0,1,1,0,1.00,Head-to-Head
ar Argentina,2,1,0,1,3,4,-1,1.00,Head-to-Head
mx Mexico,2,1,0,1,3,2,+1,1.00,Head-to-Head
ru Russia,2,0,2,0,2,2,0,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ch Switzerland,2,0,2,0,3,3,0,1.00,Head-to-Head
hu Hungary,2,0,1,1,4,5,-1,0.50,Head-to-Head
us United States,1,1,0,0,3,1,+2,3.00,Head-to-Head
jp Japan,1,1,0,0,1,0,+1,3.00,Head-to-Head
cr Costa Rica,1,1,0,0,2,1,+1,3.00,Head-to-Head
fr France,1,1,0,0,3,2,+1,2.00,Head-to-Head
tn Tunisia,1,1,0,0,1,0,+1,2.00,Head-to-Head
yu Yugoslavia,1,1,0,0,2,1,+1,2.00,Head-to-Head
ht Haiti,1,1,0,0,7,0,+7,2.00,Head-to-Head
ma Morocco,1,0,1,0,0,0,0,1.00,Head-to-Head
es Spain,1,0,1,0,1,1,0,1.00,Head-to-Head
cm Cameroon,1,0,1,0,0,0,0,1.00,Head-to-Head
uy Uruguay,1,0,1,0,0,0,0,1.00,Head-to-Head
cl Chile,1,0,1,0,2,2,0,1.00,Head-to-Head
su Soviet Union,1,0,1,0,0,0,0,1.00,Head-to-Head
co Colombia,1,0,0,1,0,3,-3,0.00,Head-to-Head
sn Senegal,1,0,0,1,1,2,-1,0.00,Head-to-Head
hr Croatia,1,0,0,1,0,1,-1,0.00,Head-to-Head
ec Ecuador,1,0,0,1,0,2,-2,0.00,Head-to-Head
ng Nigeria,1,0,0,1,0,1,-1,0.00,Head-to-Head
