Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
lu Luxembourg,9,9,0,0,31,2,+29,3.00,Head-to-Head
rs Serbia,8,3,4,1,14,11,+3,1.63,Head-to-Head
fr France,8,1,2,5,5,9,-4,0.63,Head-to-Head
de Germany,8,1,2,5,9,16,-7,0.63,Head-to-Head
hu Hungary,7,6,1,0,17,4,+13,2.57,Head-to-Head
nl Netherlands,7,5,1,1,10,7,+3,2.29,Head-to-Head
se Sweden,7,4,2,1,11,5,+6,2.00,Head-to-Head
dk Denmark,7,4,1,2,12,9,+3,1.86,Head-to-Head
ru Russia,7,4,1,2,11,3,+8,1.86,Head-to-Head
pl Poland,7,2,3,2,12,9,+3,1.29,Head-to-Head
es Spain,7,1,5,1,5,5,0,1.14,Head-to-Head
az Azerbaijan,6,6,0,0,14,0,+14,3.00,Head-to-Head
am Armenia,6,4,2,0,9,4,+5,2.33,Head-to-Head
al Albania,6,4,1,1,8,2,+6,2.17,Head-to-Head
ch Switzerland,6,3,0,3,9,6,+3,1.50,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
eng England,6,2,2,2,7,7,0,1.17,Head-to-Head
ee Estonia,5,5,0,0,20,1,+19,3.00,Head-to-Head
ad Andorra,5,5,0,0,25,1,+24,3.00,Head-to-Head
cy Cyprus,5,4,1,0,21,5,+16,2.60,Head-to-Head
be Belgium,5,3,1,1,8,3,+5,2.00,Head-to-Head
ie Republic of Ireland,5,2,3,0,9,4,+5,1.80,Head-to-Head
cz Czech Republic,4,4,0,0,10,1,+9,3.00,Head-to-Head
lv Latvia,4,4,0,0,12,1,+11,3.00,Head-to-Head
mx Mexico,4,3,1,0,7,4,+3,2.50,Head-to-Head
ba Bosnia and Herzegovina,4,3,1,0,8,2,+6,2.50,Head-to-Head
hr Croatia,4,3,1,0,9,4,+5,2.50,Head-to-Head
nir Northern Ireland,4,2,2,0,6,3,+3,2.00,Head-to-Head
ua Ukraine,4,1,1,2,3,4,-1,1.00,Head-to-Head
tr Turkey,3,3,0,0,7,1,+6,3.00,Head-to-Head
it Italy,3,2,1,0,2,0,+2,2.33,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
is Iceland,3,2,1,0,9,5,+4,2.33,Head-to-Head
no Norway,3,2,0,1,4,1,+3,2.00,Head-to-Head
il Israel,3,1,2,0,8,4,+4,1.67,Head-to-Head
us United States,3,0,2,1,5,6,-1,0.67,Head-to-Head
gr Greece,3,0,1,2,1,3,-2,0.33,Head-to-Head
kz Kazakhstan,2,2,0,0,5,1,+4,3.00,Head-to-Head
fo Faroe Islands,2,2,0,0,11,1,+10,3.00,Head-to-Head
lt Lithuania,2,2,0,0,11,1,+10,3.00,Head-to-Head
qa Qatar,2,2,0,0,6,1,+5,3.00,Head-to-Head
mt Malta,2,2,0,0,8,0,+8,3.00,Head-to-Head
kp Korea DPR,2,2,0,0,12,3,+9,2.50,Head-to-Head
li Liechtenstein,2,1,1,0,4,3,+1,2.00,Head-to-Head
sk Slovakia,2,1,1,0,3,1,+2,2.00,Head-to-Head
ir IR Iran,2,1,1,0,3,1,+2,2.00,Head-to-Head
br Brazil,2,1,1,0,3,1,+2,1.50,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ma Morocco,2,1,0,1,2,3,-1,1.50,Head-to-Head
bg Bulgaria,2,1,0,1,3,1,+2,1.00,Head-to-Head
fi Finland,2,0,2,0,1,1,0,1.00,Head-to-Head
ro Romania,1,1,0,0,1,0,+1,3.00,Head-to-Head
ar Argentina,1,1,0,0,1,0,+1,3.00,Head-to-Head
cm Cameroon,1,1,0,0,5,1,+4,3.00,Head-to-Head
gh Ghana,1,1,0,0,2,1,+1,3.00,Head-to-Head
mk North Macedonia,1,1,0,0,2,0,+2,3.00,Head-to-Head
dz Algeria,1,1,0,0,3,0,+3,3.00,Head-to-Head
ao Angola,1,1,0,0,1,0,+1,3.00,Head-to-Head
gi Gibraltar,1,1,0,0,5,0,+5,3.00,Head-to-Head
eg Egypt,1,1,0,0,2,1,+1,3.00,Head-to-Head
nz New Zealand,1,1,0,0,4,0,+4,3.00,Head-to-Head
sa Saudi Arabia,1,1,0,0,3,0,+3,3.00,Head-to-Head
wls Wales,1,1,0,0,2,0,+2,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
sct Scotland,1,1,0,0,3,1,+2,3.00,Head-to-Head
su Soviet Union,1,1,0,0,2,1,+1,2.00,Head-to-Head
ci Côte d'Ivoire,1,0,1,0,0,0,0,1.00,Head-to-Head
tn Tunisia,1,0,1,0,2,2,0,1.00,Head-to-Head
cl Chile,1,0,1,0,0,0,0,1.00,Head-to-Head
at Austria,1,0,1,0,0,0,0,1.00,Head-to-Head
cv Cape Verde,1,0,0,1,0,2,-2,0.00,Head-to-Head
kr Korea Republic,1,0,0,1,0,1,-1,0.00,Head-to-Head
uy Uruguay,1,0,0,1,1,2,-1,0.00,Head-to-Head
