Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
dz Algeria,9,2,2,5,9,11,-2,0.89,Head-to-Head
cg Congo,7,5,2,0,11,1,+10,2.43,Head-to-Head
eg Egypt,7,3,2,2,4,2,+2,1.57,Head-to-Head
na Namibia,6,6,0,0,20,2,+18,3.00,Head-to-Head
lr Liberia,6,5,1,0,19,5,+14,2.67,Head-to-Head
cv Cape Verde,4,4,0,0,8,0,+8,3.00,Head-to-Head
bj Benin,4,3,1,0,6,2,+4,2.50,Head-to-Head
zm Zambia,4,3,0,1,6,3,+3,2.25,Head-to-Head
gq Equatorial Guinea,4,3,0,1,8,3,+5,2.25,Head-to-Head
mg Madagascar,4,2,2,0,9,4,+5,2.00,Head-to-Head
ml Mali,4,2,2,0,8,4,+4,2.00,Head-to-Head
ug Uganda,4,2,2,0,3,1,+2,2.00,Head-to-Head
tn Tunisia,4,2,1,1,3,1,+2,1.75,Head-to-Head
za South Africa,4,2,1,1,5,3,+2,1.75,Head-to-Head
bf Burkina Faso,4,1,3,0,6,4,+2,1.50,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
tg Togo,4,1,2,1,6,6,0,1.25,Head-to-Head
ma Morocco,3,1,1,1,2,3,-1,1.33,Head-to-Head
rw Rwanda,2,2,0,0,3,0,+3,3.00,Head-to-Head
gh Ghana,2,2,0,0,4,2,+2,3.00,Head-to-Head
ne Niger,2,2,0,0,4,1,+3,3.00,Head-to-Head
bi Burundi,2,2,0,0,5,1,+4,3.00,Head-to-Head
bw Botswana,2,2,0,0,5,0,+5,3.00,Head-to-Head
gw Guinea-Bissau,2,2,0,0,3,0,+3,3.00,Head-to-Head
sd Sudan,2,2,0,0,4,0,+4,3.00,Head-to-Head
zw Zimbabwe,2,2,0,0,3,0,+3,3.00,Head-to-Head
ng Nigeria,2,1,1,0,2,1,+1,2.00,Head-to-Head
gn Guinea,2,1,1,0,5,2,+3,2.00,Head-to-Head
sz Eswatini,2,1,1,0,5,2,+3,2.00,Head-to-Head
ly Libya,2,1,0,1,3,3,0,1.50,Head-to-Head
gm Gambia,2,0,2,0,1,1,0,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ao Angola,2,0,2,0,2,2,0,1.00,Head-to-Head
ci Côte d'Ivoire,2,0,1,1,2,4,-2,0.50,Head-to-Head
co Colombia,2,0,1,1,2,3,-1,0.50,Head-to-Head
ke Kenya,1,1,0,0,3,0,+3,3.00,Head-to-Head
ga Gabon,1,1,0,0,1,0,+1,3.00,Head-to-Head
pl Poland,1,1,0,0,2,1,+1,3.00,Head-to-Head
kr Korea Republic,1,1,0,0,2,0,+2,3.00,Head-to-Head
se Sweden,1,1,0,0,2,1,+1,3.00,Head-to-Head
tz Tanzania,1,1,0,0,2,0,+2,3.00,Head-to-Head
bo Bolivia,1,1,0,0,2,0,+2,3.00,Head-to-Head
fr France,1,1,0,0,1,0,+1,3.00,Head-to-Head
mw Malawi,1,0,1,0,0,0,0,1.00,Head-to-Head
uz Uzbekistan,1,0,1,0,1,1,0,1.00,Head-to-Head
jp Japan,1,0,1,0,2,2,0,1.00,Head-to-Head
cm Cameroon,1,0,1,0,0,0,0,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
uy Uruguay,1,0,1,0,3,3,0,1.00,Head-to-Head
ba Bosnia and Herzegovina,1,0,1,0,0,0,0,1.00,Head-to-Head
br Brazil,1,0,1,0,1,1,0,1.00,Head-to-Head
dk Denmark,1,0,1,0,1,1,0,1.00,Head-to-Head
lu Luxembourg,1,0,1,0,0,0,0,1.00,Head-to-Head
mx Mexico,1,0,0,1,0,2,-2,0.00,Head-to-Head
tr Turkey,1,0,0,1,0,1,-1,0.00,Head-to-Head
hr Croatia,1,0,0,1,1,2,-1,0.00,Head-to-Head
mr Mauritania,1,0,0,1,0,1,-1,0.00,Head-to-Head
