Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
fo Faroe Islands,8,8,0,0,29,3,+26,3.00,Head-to-Head
lt Lithuania,8,7,0,1,19,5,+14,2.63,Head-to-Head
pt Portugal,8,1,4,3,11,14,-3,0.88,Head-to-Head
si Slovenia,7,1,5,1,12,10,+2,1.14,Head-to-Head
lu Luxembourg,6,6,0,0,19,6,+13,3.00,Head-to-Head
be Belgium,6,2,1,3,6,8,-2,1.17,Head-to-Head
az Azerbaijan,5,5,0,0,16,4,+12,3.00,Head-to-Head
ie Republic of Ireland,5,3,2,0,9,6,+3,2.20,Head-to-Head
hu Hungary,5,3,1,1,14,3,+11,2.00,Head-to-Head
ru Russia,5,1,2,2,8,6,+2,1.00,Head-to-Head
es Spain,5,0,3,2,5,8,-3,0.60,Head-to-Head
at Austria,4,3,0,1,9,6,+3,2.25,Head-to-Head
wls Wales,4,2,2,0,11,3,+8,2.00,Head-to-Head
ro Romania,4,2,2,0,10,4,+6,2.00,Head-to-Head
am Armenia,4,2,2,0,6,1,+5,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
fr France,4,0,2,2,4,6,-2,0.50,Head-to-Head
qa Qatar,3,2,0,1,8,3,+5,2.00,Head-to-Head
no Norway,3,2,0,1,3,2,+1,2.00,Head-to-Head
cz Czech Republic,3,2,0,1,4,5,-1,2.00,Head-to-Head
de Germany,3,1,2,0,4,3,+1,1.67,Head-to-Head
sct Scotland,3,1,2,0,3,1,+2,1.67,Head-to-Head
ch Switzerland,3,1,1,1,4,4,0,1.33,Head-to-Head
ee Estonia,3,1,1,1,3,4,-1,1.33,Head-to-Head
pl Poland,3,0,2,1,3,4,-1,0.67,Head-to-Head
ua Ukraine,3,0,1,2,2,9,-7,0.33,Head-to-Head
nl Netherlands,3,0,0,3,2,9,-7,0.00,Head-to-Head
dk Denmark,3,0,0,3,1,8,-7,0.00,Head-to-Head
se Sweden,2,2,0,0,5,1,+4,3.00,Head-to-Head
md Moldova,2,2,0,0,6,0,+6,3.00,Head-to-Head
mt Malta,2,2,0,0,11,0,+11,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ge Georgia,2,2,0,0,4,1,+3,3.00,Head-to-Head
nir Northern Ireland,2,2,0,0,3,1,+2,3.00,Head-to-Head
sm San Marino,2,2,0,0,8,0,+8,3.00,Head-to-Head
me Montenegro,2,2,0,0,4,1,+3,3.00,Head-to-Head
us United States,2,1,1,0,1,0,+1,2.00,Head-to-Head
ba Bosnia and Herzegovina,2,1,1,0,1,0,+1,2.00,Head-to-Head
sk Slovakia,2,1,1,0,3,1,+2,2.00,Head-to-Head
fi Finland,2,1,1,0,2,0,+2,2.00,Head-to-Head
jm Jamaica,2,1,1,0,3,2,+1,2.00,Head-to-Head
mk North Macedonia,2,1,0,1,5,2,+3,1.50,Head-to-Head
kz Kazakhstan,2,1,0,1,2,2,0,1.50,Head-to-Head
al Albania,2,1,0,1,2,3,-1,1.50,Head-to-Head
pa Panama,2,0,2,0,1,1,0,1.00,Head-to-Head
tr Turkey,2,0,2,0,2,2,0,1.00,Head-to-Head
hr Croatia,2,0,1,1,1,3,-2,0.50,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
it Italy,2,0,1,0,1,4,-3,0.50,Head-to-Head
br Brazil,2,0,0,2,0,3,-3,0.00,Head-to-Head
py Paraguay,1,1,0,0,1,0,+1,3.00,Head-to-Head
ng Nigeria,1,1,0,0,2,0,+2,3.00,Head-to-Head
il Israel,1,1,0,0,3,1,+2,3.00,Head-to-Head
gr Greece,1,1,0,0,2,0,+2,3.00,Head-to-Head
cn China PR,1,1,0,0,2,0,+2,3.00,Head-to-Head
ir IR Iran,1,1,0,0,1,0,+1,3.00,Head-to-Head
cy Cyprus,1,1,0,0,2,1,+1,3.00,Head-to-Head
cr Costa Rica,1,1,0,0,1,0,+1,3.00,Head-to-Head
bo Bolivia,1,1,0,0,5,1,+4,3.00,Head-to-Head
kr Korea Republic,1,0,1,0,1,1,0,1.00,Head-to-Head
do Dominican Republic,1,0,1,0,0,0,0,1.00,Head-to-Head
ma Morocco,1,0,0,1,1,2,-1,0.00,Head-to-Head
gh Ghana,1,0,0,1,0,1,-1,0.00,Head-to-Head
au Australia,1,0,0,1,1,2,-1,0.00,Head-to-Head
cl Chile,1,0,0,1,0,1,-1,0.00,Head-to-Head
ci Côte d'Ivoire,1,0,0,1,2,3,-1,0.00,Head-to-Head
ar Argentina,1,0,0,1,0,6,-6,0.00,Head-to-Head
jp Japan,1,0,0,1,0,1,-1,0.00,Head-to-Head
