Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Spain,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Spain,1. FIFA World Cup,R16,4,1,3,0,7,6,1,6,Diego Costa - 3,David de Gea,
2014,Spain,1. FIFA World Cup,GR,3,1,0,2,4,7,-3,3,"Xabi Alonso, Fernando Torres... - 1",Iker Casillas,
2010,Spain,1. FIFA World Cup,1st,7,6,0,1,8,2,6,18,David Villa - 5,Iker Casillas,
2006,Spain,1. FIFA World Cup,R16,4,3,0,1,9,4,5,9,"Fernando Torres, David Villa - 3",Iker Casillas,
2002,Spain,1. FIFA World Cup,QF,5,3,2,0,10,5,5,11,"Fernando Morientes, Raúl - 3",Iker Casillas,
1998,Spain,1. FIFA World Cup,GR,3,1,1,1,8,4,4,4,"Fernando Morientes, Fernando Hierro - 2",Andoni Zubizarreta,
1994,Spain,1. FIFA World Cup,QF,5,2,2,1,10,6,4,8,José Luis Caminero - 3,Andoni Zubizarreta,
1990,Spain,1. FIFA World Cup,R16,4,2,1,1,6,4,2,5,Míchel - 4,Andoni Zubizarreta,
1986,Spain,1. FIFA World Cup,QF,5,3,1,1,11,4,7,7,Emilio Butragueño - 5,Andoni Zubizarreta,
1982,Spain,1. FIFA World Cup,2R,5,1,2,2,4,5,-1,4,"Juanito, Enrique Saura... - 1",Luis Arconada,
1978,Spain,1. FIFA World Cup,1R,3,1,1,1,2,2,0,3,"Daniel Ruiz, Juan Manuel Asensi - 1",Miguel Ángel González Suárez,
1966,Spain,1. FIFA World Cup,GR,3,1,0,2,4,5,-1,2,"Manuel Sanchís, Josep Maria Fusté... - 1",José Ángel Iribar,
1962,Spain,1. FIFA World Cup,GR,3,1,0,2,2,3,-1,2,"Joaquín Peiró, Adelardo Rodríguez - 1",Carmelo Cedrún,
1950,Spain,1. FIFA World Cup,4th,6,3,1,2,10,12,-2,7,"Estanislau Basora, Telmo Zarra - 4",Antoni Ramallets,
1934,Spain,1. FIFA World Cup,QF,3,1,1,1,4,3,1,3,José Iraragorri - 2,Ricardo Zamora,
