Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Switzerland,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Switzerland,1. FIFA World Cup,R16,4,1,2,1,5,5,0,5,"Blerim Džemaili, Xherdan Shaqiri... - 1",Yann Sommer,
2014,Switzerland,1. FIFA World Cup,R16,4,2,0,2,7,7,0,6,Xherdan Shaqiri - 3,Diego Benaglio,
2010,Switzerland,1. FIFA World Cup,GR,3,1,1,1,1,1,0,4,Gelson Fernandes - 1,Diego Benaglio,
2006,Switzerland,1. FIFA World Cup,R16,4,2,2,0,4,0,4,8,Alexander Frei - 2,Pascal Zuberbühler,
1994,Switzerland,1. FIFA World Cup,R16,4,1,1,2,5,7,-2,4,Adrian Knup - 2,Marco Pascolo,
1966,Switzerland,1. FIFA World Cup,GR,3,0,0,3,1,9,-8,0,René-Pierre Quentin - 1,Karl Elsener,
1962,Switzerland,1. FIFA World Cup,GR,3,0,0,3,2,8,-6,0,"Heinz Schneiter, Rolf Wüthrich - 1",Karl Elsener,
1954,Switzerland,1. FIFA World Cup,QF,4,2,0,2,11,11,0,4,Josef Hügi - 6,Eugène Parlier,
1950,Switzerland,1. FIFA World Cup,GR,3,1,1,1,4,6,-2,3,Jacques Fatton - 2,Georges Stuber,
1938,Switzerland,1. FIFA World Cup,QF,3,1,1,1,5,5,0,3,André Abegglen - 3,Willy Huber,
1934,Switzerland,1. FIFA World Cup,QF,2,1,0,1,5,5,0,2,Leopold Kielholz - 3,Frank Séchehaye,
