Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
mr Mauritania,10,7,3,0,17,3,+14,2.40,Head-to-Head
gq Equatorial Guinea,8,5,1,2,15,6,+9,2.00,Head-to-Head
cd Congo DR,6,4,2,0,15,4,+11,2.33,Head-to-Head
bw Botswana,5,3,2,0,9,3,+6,2.20,Head-to-Head
eg Egypt,5,3,0,2,6,5,+1,1.80,Head-to-Head
ml Mali,5,2,2,1,3,2,+1,1.60,Head-to-Head
dz Algeria,5,2,1,2,4,5,-1,1.40,Head-to-Head
ng Nigeria,5,1,3,1,4,4,0,1.20,Head-to-Head
ma Morocco,5,1,2,2,5,6,-1,1.00,Head-to-Head
cm Cameroon,5,0,3,2,3,7,-4,0.60,Head-to-Head
ke Kenya,4,4,0,0,6,1,+5,3.00,Head-to-Head
ly Libya,4,3,1,0,10,3,+7,2.50,Head-to-Head
zm Zambia,4,3,1,0,8,3,+5,2.50,Head-to-Head
gn Guinea,4,3,0,1,9,3,+6,2.25,Head-to-Head
sn Senegal,4,1,1,2,1,3,-2,1.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ci Côte d'Ivoire,4,0,2,2,4,8,-4,0.50,Head-to-Head
bf Burkina Faso,4,0,1,3,1,5,-4,0.25,Head-to-Head
bi Burundi,3,3,0,0,5,2,+3,3.00,Head-to-Head
mg Madagascar,3,3,0,0,6,0,+6,3.00,Head-to-Head
ne Niger,3,3,0,0,5,2,+3,3.00,Head-to-Head
cv Cape Verde,3,2,1,0,6,2,+4,2.33,Head-to-Head
tg Togo,3,1,2,0,2,1,+1,1.67,Head-to-Head
ga Gabon,3,0,2,1,3,4,-1,0.67,Head-to-Head
be Belgium,3,0,1,2,3,7,-4,0.33,Head-to-Head
sc Seychelles,2,2,0,0,7,0,+7,3.00,Head-to-Head
dj Djibouti,2,2,0,0,11,1,+10,3.00,Head-to-Head
sz Eswatini,2,2,0,0,6,0,+6,3.00,Head-to-Head
cg Congo,2,2,0,0,8,1,+7,3.00,Head-to-Head
sl Sierra Leone,2,1,1,0,4,3,+1,2.00,Head-to-Head
mw Malawi,2,1,1,0,9,2,+7,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
tz Tanzania,2,1,1,0,2,1,+1,2.00,Head-to-Head
mz Mozambique,2,1,0,1,2,1,+1,1.50,Head-to-Head
lr Liberia,2,1,0,1,4,2,+2,1.50,Head-to-Head
de Germany,2,0,1,1,0,3,-3,0.50,Head-to-Head
co Colombia,2,0,1,1,1,2,-1,0.50,Head-to-Head
gh Ghana,2,0,1,1,2,3,-1,0.50,Head-to-Head
jp Japan,2,0,0,2,0,4,-4,0.00,Head-to-Head
es Spain,2,0,0,2,1,4,-3,0.00,Head-to-Head
eng England,2,0,0,2,1,4,-3,0.00,Head-to-Head
pa Panama,1,1,0,0,2,1,+1,3.00,Head-to-Head
km Comoros,1,1,0,0,1,0,+1,3.00,Head-to-Head
cr Costa Rica,1,1,0,0,1,0,+1,3.00,Head-to-Head
zw Zimbabwe,1,1,0,0,4,2,+2,3.00,Head-to-Head
iq Iraq,1,1,0,0,2,0,+2,3.00,Head-to-Head
kr Korea Republic,1,1,0,0,1,0,+1,3.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
sd Sudan,1,1,0,0,3,0,+3,3.00,Head-to-Head
ir IR Iran,1,1,0,0,1,0,+1,3.00,Head-to-Head
au Australia,1,1,0,0,2,0,+2,3.00,Head-to-Head
hr Croatia,1,1,0,0,2,1,+1,3.00,Head-to-Head
ug Uganda,1,1,0,0,2,0,+2,3.00,Head-to-Head
mx Mexico,1,1,0,0,3,1,+2,2.00,Head-to-Head
sa Saudi Arabia,1,0,1,0,2,2,0,1.00,Head-to-Head
ao Angola,1,0,1,0,1,1,0,1.00,Head-to-Head
pt Portugal,1,0,1,0,2,2,0,1.00,Head-to-Head
cn China PR,1,0,1,0,1,1,0,1.00,Head-to-Head
tr Turkey,1,0,1,0,2,2,0,1.00,Head-to-Head
ro Romania,1,0,1,0,1,1,0,1.00,Head-to-Head
pl Poland,1,0,0,1,0,1,-1,0.00,Head-to-Head
ua Ukraine,1,0,0,1,0,1,-1,0.00,Head-to-Head
gm Gambia,1,0,0,1,0,1,-1,0.00,Head-to-Head
ru Russia,1,0,0,1,0,2,-2,0.00,Head-to-Head
ar Argentina,1,0,0,1,1,2,-1,0.00,Head-to-Head
