Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,United States,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2014,United States,1. FIFA World Cup,R16,4,1,1,2,5,6,-1,4,Clint Dempsey - 2,Tim Howard,
2010,United States,1. FIFA World Cup,R16,4,1,2,1,5,5,0,5,Landon Donovan - 3,Tim Howard,
2006,United States,1. FIFA World Cup,GR,3,0,1,2,2,6,-4,1,Clint Dempsey - 1,Kasey Keller,
2002,United States,1. FIFA World Cup,QF,5,2,1,2,7,7,0,7,"Landon Donovan, Brian McBride - 2",Brad Friedel,
1998,United States,1. FIFA World Cup,GR,3,0,0,3,1,5,-4,0,Brian McBride - 1,Kasey Keller,
1994,United States,1. FIFA World Cup,R16,4,1,1,2,3,4,-1,4,"Eric Wynalda, Earnie Stewart - 1",Tony Meola,
1990,United States,1. FIFA World Cup,GR,3,0,0,3,2,8,-6,0,"Bruce Murray, Paul Caligiuri - 1",Tony Meola,
1950,United States,1. FIFA World Cup,GR,3,1,0,2,4,8,-4,2,"Gino Pariani, Joe Gaetjens... - 1",Frank Borghi,
1934,United States,1. FIFA World Cup,R16,1,0,0,1,1,7,-6,0,Aldo Donelli - 1,Julius Hjulian,
1930,United States,1. FIFA World Cup,3rd,3,2,0,1,7,6,1,4,Bert Patenaude - 4,Jimmy Douglas,
