Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Uruguay,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Uruguay,1. FIFA World Cup,QF,5,4,0,1,7,3,4,12,Edinson Cavani - 3,Fernando Muslera,
2014,Uruguay,1. FIFA World Cup,R16,4,2,0,2,4,6,-2,6,Luis Suárez - 2,Fernando Muslera,
2010,Uruguay,1. FIFA World Cup,4th,7,3,2,2,11,8,3,11,Diego Forlán - 5,Fernando Muslera,
2002,Uruguay,1. FIFA World Cup,GR,3,0,2,1,4,5,-1,2,"Diego Forlán, Darío Rodríguez... - 1",Fabián Carini,
1990,Uruguay,1. FIFA World Cup,R16,4,1,1,2,2,5,-3,3,"Pablo Bengoechea, Daniel Fonseca - 1",Fernando Álvez,
1986,Uruguay,1. FIFA World Cup,R16,4,0,2,2,2,8,-6,2,"Antonio Alzamendi, Enzo Francescoli - 1",Fernando Álvez,
1974,Uruguay,1. FIFA World Cup,1R,3,0,1,2,1,6,-5,1,Ricardo Pavoni - 1,Ladislao Mazurkiewicz,
1970,Uruguay,1. FIFA World Cup,4th,6,2,1,3,4,5,-1,5,"Víctor Espárrago, Luis Cubilla... - 1",Ladislao Mazurkiewicz,
1966,Uruguay,1. FIFA World Cup,QF,4,1,2,1,2,5,-3,4,"Pedro Rocha, Julio César Cortés - 1",Ladislao Mazurkiewicz,
1962,Uruguay,1. FIFA World Cup,GR,3,1,0,2,4,6,-2,2,José Sasía - 2,Roberto Sosa,
1954,Uruguay,1. FIFA World Cup,4th,5,3,0,2,16,9,7,6,Carlos Borges - 4,Roque Máspoli,
1950,Uruguay,1. FIFA World Cup,1st,4,3,1,0,15,5,10,7,Óscar Míguez - 5,Roque Máspoli,
1930,Uruguay,1. FIFA World Cup,1st,4,4,0,0,15,3,12,8,Pedro Cea - 5,Enrique Ballestrero,
