Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
be Belgium,11,2,4,5,12,16,-4,0.91,Head-to-Head
ie Republic of Ireland,8,3,3,2,8,5,+3,1.50,Head-to-Head
az Azerbaijan,6,5,1,0,9,2,+7,2.67,Head-to-Head
pl Poland,6,0,1,5,4,9,-5,0.17,Head-to-Head
nl Netherlands,6,0,0,6,7,20,-13,0.00,Head-to-Head
eng England,6,0,0,6,1,11,-10,0.00,Head-to-Head
by Belarus,5,4,0,1,11,5,+6,2.40,Head-to-Head
sk Slovakia,5,3,1,1,10,9,+1,2.00,Head-to-Head
at Austria,5,2,1,2,5,6,-1,1.40,Head-to-Head
fi Finland,5,2,1,2,5,5,0,1.40,Head-to-Head
cz Czech Republic,5,1,3,1,5,5,0,1.20,Head-to-Head
sm San Marino,4,4,0,0,16,1,+15,3.00,Head-to-Head
bg Bulgaria,4,3,0,1,3,1,+2,2.25,Head-to-Head
cy Cyprus,4,3,0,1,7,5,+2,2.25,Head-to-Head
nir Northern Ireland,4,2,2,0,7,5,+2,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
hu Hungary,4,2,1,1,5,3,+2,1.50,Head-to-Head
ua Ukraine,4,1,2,1,3,3,0,1.25,Head-to-Head
rs Serbia,4,0,2,2,3,11,-8,0.50,Head-to-Head
de Germany,4,0,1,3,0,5,-5,0.25,Head-to-Head
hr Croatia,4,0,1,3,3,7,-4,0.25,Head-to-Head
mx Mexico,3,1,2,0,2,1,+1,1.67,Head-to-Head
ch Switzerland,3,1,1,1,4,5,-1,1.33,Head-to-Head
tr Turkey,3,1,1,1,6,6,0,1.33,Head-to-Head
ru Russia,3,1,0,2,5,5,0,1.00,Head-to-Head
dk Denmark,3,0,0,3,1,8,-7,0.00,Head-to-Head
sct Scotland,2,2,0,0,4,2,+2,3.00,Head-to-Head
li Liechtenstein,2,2,0,0,4,0,+4,3.00,Head-to-Head
ad Andorra,2,2,0,0,4,1,+3,3.00,Head-to-Head
md Moldova,2,2,0,0,6,0,+6,3.00,Head-to-Head
il Israel,2,1,1,0,3,0,+3,2.00,Head-to-Head
Squad,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
ee Estonia,2,1,1,0,1,0,+1,2.00,Head-to-Head
ge Georgia,2,1,1,0,2,1,+1,2.00,Head-to-Head
me Montenegro,2,1,0,1,2,2,0,1.50,Head-to-Head
mk North Macedonia,2,1,0,1,2,2,0,1.50,Head-to-Head
am Armenia,2,0,2,0,2,2,0,1.00,Head-to-Head
no Norway,2,0,1,1,3,4,-1,0.50,Head-to-Head
al Albania,2,0,1,1,0,1,-1,0.50,Head-to-Head
ba Bosnia and Herzegovina,2,0,1,1,0,2,-2,0.50,Head-to-Head
se Sweden,2,0,1,1,0,3,-3,0.50,Head-to-Head
fr France,2,0,0,2,0,5,-5,0.00,Head-to-Head
is Iceland,1,1,0,0,3,1,+2,3.00,Head-to-Head
tt Trinidad and Tobago,1,1,0,0,1,0,+1,3.00,Head-to-Head
us United States,1,0,1,0,0,0,0,1.00,Head-to-Head
pa Panama,1,0,1,0,1,1,0,1.00,Head-to-Head
es Spain,1,0,0,1,1,4,-3,0.00,Head-to-Head
br Brazil,1,0,0,1,0,1,-1,0.00,Head-to-Head
pt Portugal,1,0,0,1,0,2,-2,0.00,Head-to-Head
it Italy,1,0,0,1,0,1,-1,0.00,Head-to-Head
